-3.022420139807135975e+00,9.254634984301999580e-04,1.671082799583513578e+00,1.475052048340530497e+01,1.221027363161799988e-02,-6.314235408383264136e+00,2.619353870037133447e+01,3.149415063487108313e+00,-2.524847494143787952e+00,1.873581832393666824e+00,1.588304455428791284e+00,-1.764498743423855931e+00,-9.565086700902055483e+00,-9.595402571378230050e+00
-2.284894115636870726e+00,1.535977180011099995e-03,1.355371029164350372e+00,1.475052048340530142e+01,1.221027363161799988e-02,-6.314235408383261472e+00,2.632726836923096769e+01,3.149415063487108313e+00,-2.524847494143787952e+00,1.873581832393666824e+00,1.588304455428791284e+00,-1.764498743423855931e+00,-9.565086700902055483e+00,-9.595402571378230050e+00
-1.547368091466605700e+00,2.146490861592000032e-03,1.039659258745187387e+00,1.475052048340530852e+01,1.221027363161799814e-02,-6.314235408383261472e+00,2.646099803809060091e+01,3.149415063487108313e+00,-2.524847494143787952e+00,1.873581832393666824e+00,1.588304455428791284e+00,-1.764498743423855931e+00,-9.565086700902055483e+00,-9.595402571378230050e+00
-8.098420672963397848e-01,2.757004543172899853e-03,7.239474883260241800e-01,1.475052048340531030e+01,1.221027363161899734e-02,-6.314235408383264136e+00,2.659472770695023414e+01,3.149415063487108313e+00,-2.524847494143787952e+00,1.873581832393666824e+00,1.588304455428791284e+00,-1.764498743423855931e+00,-9.565086700902055483e+00,-9.595402571378230050e+00
-7.231604312607449458e-02,3.367518224753899853e-03,4.082357179068609732e-01,1.475052048340530497e+01,1.221027363161899734e-02,-6.314235408383262360e+00,2.672845737580986736e+01,3.149415063487108313e+00,-2.524847494143787952e+00,1.873581832393666824e+00,1.588304455428791284e+00,-1.764498743423855931e+00,-9.565086700902055483e+00,-9.595402571378230050e+00
6.652099810441907124e-01,3.978031906334799674e-03,9.252394748769790511e-02,1.494055282058553047e+01,1.251079981561200281e-02,-6.077162445542307445e+00,2.686218704466950413e+01,3.149415063487108313e+00,-2.524847494143787952e+00,1.873581832393666824e+00,1.588304455428791284e+00,-1.764498743423855931e+00,-9.565086700902055483e+00,-9.595402571378230050e+00
1.421739238932478555e+00,4.618598206315100221e-03,-1.994805266473697880e-01,1.657146065271881952e+01,1.508999509631900500e-02,-4.042539509142249798e+00,2.697992911303904506e+01,3.149415063487108313e+00,-2.524847494143787952e+00,1.873581832393666824e+00,1.588304455428791284e+00,-1.764498743423855931e+00,-9.565086700902055483e+00,-9.595402571378230050e+00
2.322356046316072842e+00,5.487031415966700174e-03,-3.117300034265271247e-01,2.036261210354077633e+01,1.814862279837599693e-02,-2.490359335186530299e+00,2.697644896149005689e+01,5.207149533795242924e+00,-2.640770668297801826e+00,1.728328942225864084e+00,2.578979356005388190e+00,-2.900756339515218052e+00,-7.477664288467559039e+00,-7.681151572698993846e+00
3.458000449286556144e+00,6.433460486152699914e-03,-4.485164601660228123e-01,2.416532238409797628e+01,2.024972378682999771e-02,-3.043907842921320661e+00,2.712058065252196215e+01,8.301981215935549940e+00,-2.491808236040890190e+00,1.672282259392388060e+00,4.052888873582286777e+00,-4.580991941467733142e+00,-3.649430225126224947e+00,-4.254369109153149253e+00
4.738888284725870648e+00,7.512003794649699945e-03,-6.161207877186591908e-01,2.532915846448259245e+01,2.240337737246099470e-02,-3.487648265355014932e+00,2.724935300415836537e+01,1.252412293061506077e+01,-3.058152624906623540e+00,2.588144513289671433e+00,6.036373771419628831e+00,-6.765783001750857117e+00,9.074571599564580371e-01,-4.846945525942000094e-03
5.990916295734815655e+00,8.673798223398799384e-03,-7.972812867015243166e-01,2.559490363448438544e+01,3.575982030695199626e-02,-3.887972938959765035e+00,2.730176471585678044e+01,1.696382225146200540e+01,-2.352832322906836193e+00,2.315665616153150363e+00,8.146854541088215385e+00,-8.996992818641077250e+00,4.378007088468640617e+00,3.466863101662096991e+00
7.298378648174309369e+00,1.108798582534489992e-02,-1.004918081614635694e+00,2.643160809817918278e+01,4.128489711543699425e-02,-4.393181144596447929e+00,2.734265053075781182e+01,2.144208776680476447e+01,-9.077691303026269587e-02,4.711287511697498931e-01,1.035132391707817767e+01,-1.126942736549411350e+01,6.914262974827345865e+00,6.042357322919087004e+00
8.634077105552734110e+00,1.280228793494249916e-02,-1.236599401161169176e+00,2.766861281030902830e+01,2.252650181988500797e-02,-5.013663156700749468e+00,2.738981528288444522e+01,2.562687816019656850e+01,3.127019465070581372e+00,-2.314889896076782083e+00,1.243775153487826834e+01,-1.340729620057356364e+01,8.349438121990592876e+00,7.503014557588899791e+00
1.006523992920521238e+01,1.334063600733340071e-02,-1.506284397284710641e+00,2.735391249384315770e+01,1.982527869161400391e-02,-5.310763109001108262e+00,2.742438896061119991e+01,2.924608555342393856e+01,7.518770178856675201e+00,-6.195490264435150607e+00,1.423025090282719951e+01,-1.524663085074143787e+01,8.975768187244518970e+00,8.062328189451356764e+00
1.136946835493704988e+01,1.478481580410389955e-02,-1.767675712061280047e+00,2.568365007124535637e+01,2.251639746853599522e-02,-5.286031267854404803e+00,2.745350686000053031e+01,3.171081253744290152e+01,1.132571982837774449e+01,-9.624933996622500487e+00,1.546849426589257170e+01,-1.649728135367593040e+01,9.228631338106756843e+00,8.170561962102938836e+00
1.263360493632974801e+01,1.559227575418700024e-02,-2.034887524070151166e+00,2.590865593346139306e+01,2.761130159854298730e-02,-5.625208410567685391e+00,2.748845460922420614e+01,3.333454001537482725e+01,1.474401946417111375e+01,-1.266588740442805161e+01,1.627662450804964323e+01,-1.728131512011896831e+01,9.313880775887906083e+00,8.098194207754167095e+00
