variable,mean,std,min,max,length,filename
W4_Cross,1.433571428571429,0.19077556929558537,1.19,1.81,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W5_Speed,1.1576190476190475,0.23286040671063574,0.6,1.4,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W5_Tangent,0.11071428571428574,0.23882480272746529,-0.14,0.72,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W5_Turbulence,0.23904761904761906,0.13350643809735432,0.01,0.49,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W5_CleanTan,0.11071428571428574,0.23882480272746529,-0.14,0.72,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W5_Cross,0.8700476190476191,0.32632284718111615,0.02,1.13,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W6_Speed,0.7914285714285714,0.17532705499511606,0.6,1.3,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W6_Tangent,0.21261904761904762,0.12348720027058505,0.05,0.45,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W6_Turbulence,0.15909523809523807,0.12781056734691823,0.02,0.52,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W6_CleanTan,0.21261904761904762,0.12348720027058505,0.05,0.45,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W6_Cross,0.6083809523809525,0.2159152049115747,0.4,1.21,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W7_Speed,1.6357142857142855,0.15957693555001987,1.2,1.9,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W7_Tangent,0.4639523809523809,0.267707076972742,0.03,0.96,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W7_Turbulence,0.1868095238095238,0.09316247013619497,0.01,0.35,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W7_CleanTan,0.4639523809523809,0.267707076972742,0.03,0.96,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W7_Cross,1.3972380952380954,0.2277201137722582,0.83,1.68,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W8_Speed,0.32142857142857145,0.18214000909142672,0.1,1.1,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W8_Tangent,-0.06757142857142857,0.17845511180956342,-0.92,0.14,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W8_Turbulence,0.16752380952380955,0.09285251929530547,0.01,0.3,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
