Position;Height above ground [m];Time;X [m];Y [m];Z [m];Opening Angle [°];Stalling Angle Left [°];Stalling Angle Right [°];Roll Angle Left [°];Roll Angle Right [°];Yaw Angle Left [°];Yaw Angle Right [°];Speed hor. [km/h];Speed vert. [km/h];Speed resulting [km/h];WindTime|WindName|WindSpeed|WindSpeedTangent|WindTurbulence|WindSpeedCleanTan|WindSpeedCross
-95.51;NaN;0001-01-01T00:00:00.0000000+01:00;-83.04;0.00;44.40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.000;0.000;0.000;"0001-01-01T00:00:00.045+01:00|W1|0.7|0.04|0.20|0.04|0.47;0001-01-01T00:00:00.045+01:00|W2|0.9|-0.02|0.09|-0.02|0.37;0001-01-01T00:00:00.045+01:00|W3|0.6|0.25|0.12|0.25|0.57;0001-01-01T00:00:00.045+01:00|W4|0.6|0.55|0.14|0.55|0.21;0001-01-01T00:00:00.045+01:00|W5|0.8|0.51|0.09|0.51|0.52;0001-01-01T00:00:00.045+01:00|W6|1.0|-0.96|0.44|-0.96|0.25;0001-01-01T00:00:00.045+01:00|W7|1.0|-0.07|0.03|-0.07|0.99;0001-01-01T00:00:00.045+01:00|W8|1.5|-0.98|0.05|-0.98|0.89;0001-01-01T00:00:00.045+01:00|W9|0.7|-0.52|0.07|-0.52|0.44;0001-01-01T00:00:00.045+01:00|W10|0.3|0.10|0.39|0.10|0.21;0001-01-01T00:00:00.045+01:00|W11|0.3|-0.22|0.01|-0.22|0.26;0001-01-01T00:00:00.045+01:00|W12|0.5|0.50|0.01|0.50|0.14"
0.00;2.93;0001-01-01T00:00:04.2600000+01:00;0.03;0.00;-0.01;0.0;-11.500;-11.500;0.000;0.000;0.000;0.000;98.600;-20.060;100.620;"0001-01-01T00:00:04.292+01:00|W1|1.0|0.23|0.04|0.23|0.93;0001-01-01T00:00:04.292+01:00|W2|0.5|0.21|0.13|0.21|0.24;0001-01-01T00:00:04.292+01:00|W3|0.7|0.10|0.01|0.10|0.66;0001-01-01T00:00:04.292+01:00|W4|0.7|-0.16|0.17|-0.16|0.18;0001-01-01T00:00:04.292+01:00|W5|1.5|0.64|0.48|0.64|1.23;0001-01-01T00:00:04.292+01:00|W6|0.9|-0.86|0.30|-0.86|0.02;0001-01-01T00:00:04.292+01:00|W7|0.9|-0.04|0.08|-0.04|0.92;0001-01-01T00:00:04.292+01:00|W8|1.7|-1.46|0.10|-1.46|0.88;0001-01-01T00:00:04.292+01:00|W9|0.7|-0.48|0.06|-0.48|0.47;0001-01-01T00:00:04.292+01:00|W10|0.9|-0.66|0.38|-0.66|0.57;0001-01-01T00:00:04.292+01:00|W11|0.4|-0.20|0.06|-0.20|0.35;0001-01-01T00:00:04.292+01:00|W12|0.5|0.49|0.07|0.49|0.14"
1.00;2.84;0001-01-01T00:00:04.4510000+01:00;1.33;0.01;-0.24;2.5;-10.502;-9.792;-7.661;4.911;1.108;-1.455;97.272;-12.354;98.053;"0001-01-01T00:00:04.543+01:00|W1|1.0|0.29|0.03|0.29|0.92;0001-01-01T00:00:04.543+01:00|W2|0.5|0.21|0.09|0.21|0.21;0001-01-01T00:00:04.543+01:00|W3|0.7|0.07|0.04|0.07|0.68;0001-01-01T00:00:04.543+01:00|W4|0.4|-0.21|0.16|-0.21|0.27;0001-01-01T00:00:04.543+01:00|W5|1.4|0.39|0.28|0.39|1.22;0001-01-01T00:00:04.543+01:00|W6|0.8|-0.80|0.36|-0.80|0.02;0001-01-01T00:00:04.543+01:00|W7|0.9|-0.09|0.06|-0.09|0.93;0001-01-01T00:00:04.543+01:00|W8|1.8|-1.41|0.14|-1.41|1.02;0001-01-01T00:00:04.543+01:00|W9|0.8|-0.50|0.11|-0.50|0.52;0001-01-01T00:00:04.543+01:00|W10|0.8|-0.69|0.27|-0.69|0.37;0001-01-01T00:00:04.543+01:00|W11|0.4|-0.21|0.07|-0.21|0.37;0001-01-01T00:00:04.543+01:00|W12|0.5|0.46|0.09|0.46|0.12"
2.00;2.86;0001-01-01T00:00:04.4900000+01:00;2.37;0.01;-0.37;4.4;-6.154;-5.701;-7.157;6.622;2.012;-2.412;96.521;-11.668;97.224;"0001-01-01T00:00:04.543+01:00|W1|1.0|0.29|0.03|0.29|0.92;0001-01-01T00:00:04.543+01:00|W2|0.5|0.21|0.09|0.21|0.21;0001-01-01T00:00:04.543+01:00|W3|0.7|0.07|0.04|0.07|0.68;0001-01-01T00:00:04.543+01:00|W4|0.4|-0.21|0.16|-0.21|0.27;0001-01-01T00:00:04.543+01:00|W5|1.4|0.39|0.28|0.39|1.22;0001-01-01T00:00:04.543+01:00|W6|0.8|-0.80|0.36|-0.80|0.02;0001-01-01T00:00:04.543+01:00|W7|0.9|-0.09|0.06|-0.09|0.93;0001-01-01T00:00:04.543+01:00|W8|1.8|-1.41|0.14|-1.41|1.02;0001-01-01T00:00:04.543+01:00|W9|0.8|-0.50|0.11|-0.50|0.52;0001-01-01T00:00:04.543+01:00|W10|0.8|-0.69|0.27|-0.69|0.37;0001-01-01T00:00:04.543+01:00|W11|0.4|-0.21|0.07|-0.21|0.37;0001-01-01T00:00:04.543+01:00|W12|0.5|0.46|0.09|0.46|0.12"
3.00;2.90;0001-01-01T00:00:04.5290000+01:00;3.41;0.02;-0.49;7.4;-1.218;-0.953;-3.310;5.618;3.674;-3.758;96.637;-12.271;97.414;"0001-01-01T00:00:04.543+01:00|W1|1.0|0.29|0.03|0.29|0.92;0001-01-01T00:00:04.543+01:00|W2|0.5|0.21|0.09|0.21|0.21;0001-01-01T00:00:04.543+01:00|W3|0.7|0.07|0.04|0.07|0.68;0001-01-01T00:00:04.543+01:00|W4|0.4|-0.21|0.16|-0.21|0.27;0001-01-01T00:00:04.543+01:00|W5|1.4|0.39|0.28|0.39|1.22;0001-01-01T00:00:04.543+01:00|W6|0.8|-0.80|0.36|-0.80|0.02;0001-01-01T00:00:04.543+01:00|W7|0.9|-0.09|0.06|-0.09|0.93;0001-01-01T00:00:04.543+01:00|W8|1.8|-1.41|0.14|-1.41|1.02;0001-01-01T00:00:04.543+01:00|W9|0.8|-0.50|0.11|-0.50|0.52;0001-01-01T00:00:04.543+01:00|W10|0.8|-0.69|0.27|-0.69|0.37;0001-01-01T00:00:04.543+01:00|W11|0.4|-0.21|0.07|-0.21|0.37;0001-01-01T00:00:04.543+01:00|W12|0.5|0.46|0.09|0.46|0.12"
4.00;2.94;0001-01-01T00:00:04.5670000+01:00;4.45;0.03;-0.62;11.2;2.841;3.436;-2.187;4.459;5.975;-5.259;96.942;-13.095;97.825;"0001-01-01T00:00:04.543+01:00|W1|1.0|0.29|0.03|0.29|0.92;0001-01-01T00:00:04.543+01:00|W2|0.5|0.21|0.09|0.21|0.21;0001-01-01T00:00:04.543+01:00|W3|0.7|0.07|0.04|0.07|0.68;0001-01-01T00:00:04.543+01:00|W4|0.4|-0.21|0.16|-0.21|0.27;0001-01-01T00:00:04.543+01:00|W5|1.4|0.39|0.28|0.39|1.22;0001-01-01T00:00:04.543+01:00|W6|0.8|-0.80|0.36|-0.80|0.02;0001-01-01T00:00:04.543+01:00|W7|0.9|-0.09|0.06|-0.09|0.93;0001-01-01T00:00:04.543+01:00|W8|1.8|-1.41|0.14|-1.41|1.02;0001-01-01T00:00:04.543+01:00|W9|0.8|-0.50|0.11|-0.50|0.52;0001-01-01T00:00:04.543+01:00|W10|0.8|-0.69|0.27|-0.69|0.37;0001-01-01T00:00:04.543+01:00|W11|0.4|-0.21|0.07|-0.21|0.37;0001-01-01T00:00:04.543+01:00|W12|0.5|0.46|0.09|0.46|0.12"
5.00;2.98;0001-01-01T00:00:04.6050000+01:00;5.48;0.03;-0.77;15.4;5.549;7.093;-5.905;4.261;8.756;-6.790;97.116;-13.648;98.074;"0001-01-01T00:00:04.543+01:00|W1|1.0|0.29|0.03|0.29|0.92;0001-01-01T00:00:04.543+01:00|W2|0.5|0.21|0.09|0.21|0.21;0001-01-01T00:00:04.543+01:00|W3|0.7|0.07|0.04|0.07|0.68;0001-01-01T00:00:04.543+01:00|W4|0.4|-0.21|0.16|-0.21|0.27;0001-01-01T00:00:04.543+01:00|W5|1.4|0.39|0.28|0.39|1.22;0001-01-01T00:00:04.543+01:00|W6|0.8|-0.80|0.36|-0.80|0.02;0001-01-01T00:00:04.543+01:00|W7|0.9|-0.09|0.06|-0.09|0.93;0001-01-01T00:00:04.543+01:00|W8|1.8|-1.41|0.14|-1.41|1.02;0001-01-01T00:00:04.543+01:00|W9|0.8|-0.50|0.11|-0.50|0.52;0001-01-01T00:00:04.543+01:00|W10|0.8|-0.69|0.27|-0.69|0.37;0001-01-01T00:00:04.543+01:00|W11|0.4|-0.21|0.07|-0.21|0.37;0001-01-01T00:00:04.543+01:00|W12|0.5|0.46|0.09|0.46|0.12"
6.00;3.04;0001-01-01T00:00:04.6430000+01:00;6.51;0.03;-0.92;19.6;8.256;10.749;-9.623;4.063;11.535;-8.320;97.290;-14.200;98.325;"0001-01-01T00:00:04.543+01:00|W1|1.0|0.29|0.03|0.29|0.92;0001-01-01T00:00:04.543+01:00|W2|0.5|0.21|0.09|0.21|0.21;0001-01-01T00:00:04.543+01:00|W3|0.7|0.07|0.04|0.07|0.68;0001-01-01T00:00:04.543+01:00|W4|0.4|-0.21|0.16|-0.21|0.27;0001-01-01T00:00:04.543+01:00|W5|1.4|0.39|0.28|0.39|1.22;0001-01-01T00:00:04.543+01:00|W6|0.8|-0.80|0.36|-0.80|0.02;0001-01-01T00:00:04.543+01:00|W7|0.9|-0.09|0.06|-0.09|0.93;0001-01-01T00:00:04.543+01:00|W8|1.8|-1.41|0.14|-1.41|1.02;0001-01-01T00:00:04.543+01:00|W9|0.8|-0.50|0.11|-0.50|0.52;0001-01-01T00:00:04.543+01:00|W10|0.8|-0.69|0.27|-0.69|0.37;0001-01-01T00:00:04.543+01:00|W11|0.4|-0.21|0.07|-0.21|0.37;0001-01-01T00:00:04.543+01:00|W12|0.5|0.46|0.09|0.46|0.12"
7.00;3.10;0001-01-01T00:00:04.6810000+01:00;7.54;0.04;-1.09;23.7;9.732;13.283;-6.849;1.925;14.423;-9.775;97.653;-16.575;99.054;"0001-01-01T00:00:04.797+01:00|W1|1.0|0.29|0.02|0.29|0.93;0001-01-01T00:00:04.797+01:00|W2|0.5|0.19|0.02|0.19|0.16;0001-01-01T00:00:04.797+01:00|W3|0.8|0.07|0.06|0.07|0.70;0001-01-01T00:00:04.797+01:00|W4|0.4|-0.08|0.13|-0.08|0.37;0001-01-01T00:00:04.797+01:00|W5|1.3|0.42|0.18|0.42|1.14;0001-01-01T00:00:04.797+01:00|W6|0.8|-0.76|0.39|-0.76|0.03;0001-01-01T00:00:04.797+01:00|W7|1.0|-0.13|0.01|-0.13|0.97;0001-01-01T00:00:04.797+01:00|W8|1.8|-1.37|0.14|-1.37|1.05;0001-01-01T00:00:04.797+01:00|W9|0.8|-0.47|0.07|-0.47|0.53;0001-01-01T00:00:04.797+01:00|W10|0.8|-0.68|0.20|-0.68|0.28;0001-01-01T00:00:04.797+01:00|W11|0.4|-0.21|0.08|-0.21|0.38;0001-01-01T00:00:04.797+01:00|W12|0.5|0.45|0.09|0.45|0.13"
8.00;3.16;0001-01-01T00:00:04.7190000+01:00;8.57;0.05;-1.26;27.5;10.240;14.648;-3.402;-0.819;17.041;-11.160;97.599;-17.739;99.201;"0001-01-01T00:00:04.797+01:00|W1|1.0|0.29|0.02|0.29|0.93;0001-01-01T00:00:04.797+01:00|W2|0.5|0.19|0.02|0.19|0.16;0001-01-01T00:00:04.797+01:00|W3|0.8|0.07|0.06|0.07|0.70;0001-01-01T00:00:04.797+01:00|W4|0.4|-0.08|0.13|-0.08|0.37;0001-01-01T00:00:04.797+01:00|W5|1.3|0.42|0.18|0.42|1.14;0001-01-01T00:00:04.797+01:00|W6|0.8|-0.76|0.39|-0.76|0.03;0001-01-01T00:00:04.797+01:00|W7|1.0|-0.13|0.01|-0.13|0.97;0001-01-01T00:00:04.797+01:00|W8|1.8|-1.37|0.14|-1.37|1.05;0001-01-01T00:00:04.797+01:00|W9|0.8|-0.47|0.07|-0.47|0.53;0001-01-01T00:00:04.797+01:00|W10|0.8|-0.68|0.20|-0.68|0.28;0001-01-01T00:00:04.797+01:00|W11|0.4|-0.21|0.08|-0.21|0.38;0001-01-01T00:00:04.797+01:00|W12|0.5|0.45|0.09|0.45|0.13"
