Position;Height above ground [m];Time;X [m];Y [m];Z [m];Opening Angle [°];Stalling Angle Left [°];Stalling Angle Right [°];Roll Angle Left [°];Roll Angle Right [°];Yaw Angle Left [°];Yaw Angle Right [°];Speed hor. [km/h];Speed vert. [km/h];Speed resulting [km/h];WindTime|WindName|WindSpeed|WindSpeedTangent|WindTurbulence|WindSpeedCleanTan|WindSpeedCross
-90.61;NaN;0001-01-01T00:00:00.0000000+01:00;-79.32;0.00;41.43;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.000;0.000;0.000;"0001-01-01T00:00:00.019+01:00|W1|1.3|1.08|0.44|1.08|0.68;0001-01-01T00:00:00.019+01:00|W2|1.1|0.76|0.07|0.76|0.76;0001-01-01T00:00:00.019+01:00|W3|1.1|1.06|0.27|1.06|0.24;0001-01-01T00:00:00.019+01:00|W4|1.1|0.58|0.07|0.58|0.87;0001-01-01T00:00:00.019+01:00|W5|2.3|2.07|0.20|2.07|1.03;0001-01-01T00:00:00.019+01:00|W6|1.5|0.70|0.02|0.70|1.10;0001-01-01T00:00:00.019+01:00|W7|2.4|2.14|0.25|2.14|0.92;0001-01-01T00:00:00.019+01:00|W8|1.8|1.73|0.08|1.73|0.29;0001-01-01T00:00:00.019+01:00|W9|2.4|1.85|0.36|1.85|1.32;0001-01-01T00:00:00.019+01:00|W10|1.8|1.70|0.09|1.70|0.40;0001-01-01T00:00:00.019+01:00|W11|1.6|1.09|0.17|1.09|1.11;0001-01-01T00:00:00.019+01:00|W12|1.8|1.74|0.11|1.74|0.45"
0.00;2.93;0001-01-01T00:00:03.9690000+01:00;0.05;0.00;-0.01;0.0;-11.500;-11.500;0.000;0.000;0.000;0.000;95.158;-19.360;97.108;"0001-01-01T00:00:04.017+01:00|W1|1.6|1.40|0.17|1.40|0.72;0001-01-01T00:00:04.017+01:00|W2|1.2|0.85|0.04|0.85|0.75;0001-01-01T00:00:04.017+01:00|W3|1.2|1.12|0.09|1.12|0.43;0001-01-01T00:00:04.017+01:00|W4|1.1|0.44|0.03|0.44|0.81;0001-01-01T00:00:04.017+01:00|W5|1.5|1.32|0.42|1.32|0.68;0001-01-01T00:00:04.017+01:00|W6|1.9|1.84|0.37|1.84|0.61;0001-01-01T00:00:04.017+01:00|W7|1.8|1.68|0.37|1.68|0.54;0001-01-01T00:00:04.017+01:00|W8|1.7|1.63|0.09|1.63|0.06;0001-01-01T00:00:04.017+01:00|W9|1.4|1.19|0.44|1.19|0.72;0001-01-01T00:00:04.017+01:00|W10|1.4|1.37|0.17|1.37|0.31;0001-01-01T00:00:04.017+01:00|W11|1.4|1.15|0.03|1.15|0.71;0001-01-01T00:00:04.017+01:00|W12|1.6|1.53|0.09|1.53|0.48"
1.00;2.92;0001-01-01T00:00:04.1810000+01:00;1.34;-0.03;-0.17;2.4;-7.587;-8.322;-4.141;3.800;0.988;-1.424;93.402;-10.755;94.043;"0001-01-01T00:00:04.271+01:00|W1|1.1|1.02|0.26|1.02|0.43;0001-01-01T00:00:04.271+01:00|W2|1.2|0.85|0.04|0.85|0.75;0001-01-01T00:00:04.271+01:00|W3|1.4|1.35|0.30|1.35|0.44;0001-01-01T00:00:04.271+01:00|W4|1.1|0.37|0.05|0.37|0.84;0001-01-01T00:00:04.271+01:00|W5|1.7|1.55|0.21|1.55|0.66;0001-01-01T00:00:04.271+01:00|W6|2.1|1.86|0.41|1.86|0.87;0001-01-01T00:00:04.271+01:00|W7|1.8|1.64|0.34|1.64|0.46;0001-01-01T00:00:04.271+01:00|W8|1.7|1.65|0.05|1.65|0.08;0001-01-01T00:00:04.271+01:00|W9|1.5|1.22|0.34|1.22|0.72;0001-01-01T00:00:04.271+01:00|W10|1.3|1.23|0.26|1.23|0.34;0001-01-01T00:00:04.271+01:00|W11|1.3|1.17|0.03|1.17|0.66;0001-01-01T00:00:04.271+01:00|W12|1.7|1.59|0.03|1.59|0.47"
2.00;2.95;0001-01-01T00:00:04.2210000+01:00;2.38;-0.05;-0.29;4.1;-4.557;-4.627;-4.408;1.651;1.647;-2.427;93.847;-10.448;94.452;"0001-01-01T00:00:04.271+01:00|W1|1.1|1.02|0.26|1.02|0.43;0001-01-01T00:00:04.271+01:00|W2|1.2|0.85|0.04|0.85|0.75;0001-01-01T00:00:04.271+01:00|W3|1.4|1.35|0.30|1.35|0.44;0001-01-01T00:00:04.271+01:00|W4|1.1|0.37|0.05|0.37|0.84;0001-01-01T00:00:04.271+01:00|W5|1.7|1.55|0.21|1.55|0.66;0001-01-01T00:00:04.271+01:00|W6|2.1|1.86|0.41|1.86|0.87;0001-01-01T00:00:04.271+01:00|W7|1.8|1.64|0.34|1.64|0.46;0001-01-01T00:00:04.271+01:00|W8|1.7|1.65|0.05|1.65|0.08;0001-01-01T00:00:04.271+01:00|W9|1.5|1.22|0.34|1.22|0.72;0001-01-01T00:00:04.271+01:00|W10|1.3|1.23|0.26|1.23|0.34;0001-01-01T00:00:04.271+01:00|W11|1.3|1.17|0.03|1.17|0.66;0001-01-01T00:00:04.271+01:00|W12|1.7|1.59|0.03|1.59|0.47"
3.00;2.99;0001-01-01T00:00:04.2600000+01:00;3.42;-0.08;-0.41;6.5;-1.775;-0.066;-2.975;2.279;2.917;-3.570;95.626;-11.108;96.289;"0001-01-01T00:00:04.271+01:00|W1|1.1|1.02|0.26|1.02|0.43;0001-01-01T00:00:04.271+01:00|W2|1.2|0.85|0.04|0.85|0.75;0001-01-01T00:00:04.271+01:00|W3|1.4|1.35|0.30|1.35|0.44;0001-01-01T00:00:04.271+01:00|W4|1.1|0.37|0.05|0.37|0.84;0001-01-01T00:00:04.271+01:00|W5|1.7|1.55|0.21|1.55|0.66;0001-01-01T00:00:04.271+01:00|W6|2.1|1.86|0.41|1.86|0.87;0001-01-01T00:00:04.271+01:00|W7|1.8|1.64|0.34|1.64|0.46;0001-01-01T00:00:04.271+01:00|W8|1.7|1.65|0.05|1.65|0.08;0001-01-01T00:00:04.271+01:00|W9|1.5|1.22|0.34|1.22|0.72;0001-01-01T00:00:04.271+01:00|W10|1.3|1.23|0.26|1.23|0.34;0001-01-01T00:00:04.271+01:00|W11|1.3|1.17|0.03|1.17|0.66;0001-01-01T00:00:04.271+01:00|W12|1.7|1.59|0.03|1.59|0.47"
4.00;3.02;0001-01-01T00:00:04.2990000+01:00;4.46;-0.10;-0.54;9.5;-0.190;5.137;-9.828;8.216;4.894;-4.658;95.741;-13.816;96.755;"0001-01-01T00:00:04.271+01:00|W1|1.1|1.02|0.26|1.02|0.43;0001-01-01T00:00:04.271+01:00|W2|1.2|0.85|0.04|0.85|0.75;0001-01-01T00:00:04.271+01:00|W3|1.4|1.35|0.30|1.35|0.44;0001-01-01T00:00:04.271+01:00|W4|1.1|0.37|0.05|0.37|0.84;0001-01-01T00:00:04.271+01:00|W5|1.7|1.55|0.21|1.55|0.66;0001-01-01T00:00:04.271+01:00|W6|2.1|1.86|0.41|1.86|0.87;0001-01-01T00:00:04.271+01:00|W7|1.8|1.64|0.34|1.64|0.46;0001-01-01T00:00:04.271+01:00|W8|1.7|1.65|0.05|1.65|0.08;0001-01-01T00:00:04.271+01:00|W9|1.5|1.22|0.34|1.22|0.72;0001-01-01T00:00:04.271+01:00|W10|1.3|1.23|0.26|1.23|0.34;0001-01-01T00:00:04.271+01:00|W11|1.3|1.17|0.03|1.17|0.66;0001-01-01T00:00:04.271+01:00|W12|1.7|1.59|0.03|1.59|0.47"
5.00;3.05;0001-01-01T00:00:04.3380000+01:00;5.49;-0.10;-0.71;12.4;-0.344;6.240;-9.277;6.606;7.783;-5.920;95.562;-14.884;96.725;"0001-01-01T00:00:04.271+01:00|W1|1.1|1.02|0.26|1.02|0.43;0001-01-01T00:00:04.271+01:00|W2|1.2|0.85|0.04|0.85|0.75;0001-01-01T00:00:04.271+01:00|W3|1.4|1.35|0.30|1.35|0.44;0001-01-01T00:00:04.271+01:00|W4|1.1|0.37|0.05|0.37|0.84;0001-01-01T00:00:04.271+01:00|W5|1.7|1.55|0.21|1.55|0.66;0001-01-01T00:00:04.271+01:00|W6|2.1|1.86|0.41|1.86|0.87;0001-01-01T00:00:04.271+01:00|W7|1.8|1.64|0.34|1.64|0.46;0001-01-01T00:00:04.271+01:00|W8|1.7|1.65|0.05|1.65|0.08;0001-01-01T00:00:04.271+01:00|W9|1.5|1.22|0.34|1.22|0.72;0001-01-01T00:00:04.271+01:00|W10|1.3|1.23|0.26|1.23|0.34;0001-01-01T00:00:04.271+01:00|W11|1.3|1.17|0.03|1.17|0.66;0001-01-01T00:00:04.271+01:00|W12|1.7|1.59|0.03|1.59|0.47"
6.00;3.09;0001-01-01T00:00:04.3760000+01:00;6.52;-0.11;-0.88;15.3;-0.498;7.342;-8.727;4.997;10.670;-7.181;95.384;-15.951;96.712;"0001-01-01T00:00:04.271+01:00|W1|1.1|1.02|0.26|1.02|0.43;0001-01-01T00:00:04.271+01:00|W2|1.2|0.85|0.04|0.85|0.75;0001-01-01T00:00:04.271+01:00|W3|1.4|1.35|0.30|1.35|0.44;0001-01-01T00:00:04.271+01:00|W4|1.1|0.37|0.05|0.37|0.84;0001-01-01T00:00:04.271+01:00|W5|1.7|1.55|0.21|1.55|0.66;0001-01-01T00:00:04.271+01:00|W6|2.1|1.86|0.41|1.86|0.87;0001-01-01T00:00:04.271+01:00|W7|1.8|1.64|0.34|1.64|0.46;0001-01-01T00:00:04.271+01:00|W8|1.7|1.65|0.05|1.65|0.08;0001-01-01T00:00:04.271+01:00|W9|1.5|1.22|0.34|1.22|0.72;0001-01-01T00:00:04.271+01:00|W10|1.3|1.23|0.26|1.23|0.34;0001-01-01T00:00:04.271+01:00|W11|1.3|1.17|0.03|1.17|0.66;0001-01-01T00:00:04.271+01:00|W12|1.7|1.59|0.03|1.59|0.47"
7.00;3.13;0001-01-01T00:00:04.4140000+01:00;7.55;-0.13;-1.06;19.6;-0.752;8.458;-7.699;3.367;13.407;-8.459;95.375;-17.218;96.921;"0001-01-01T00:00:04.520+01:00|W1|1.1|1.02|0.26|1.02|0.43;0001-01-01T00:00:04.520+01:00|W2|1.2|0.86|0.05|0.86|0.76;0001-01-01T00:00:04.520+01:00|W3|1.6|1.54|0.48|1.54|0.47;0001-01-01T00:00:04.520+01:00|W4|1.1|0.37|0.05|0.37|0.84;0001-01-01T00:00:04.520+01:00|W5|1.7|1.60|0.18|1.60|0.49;0001-01-01T00:00:04.520+01:00|W6|2.1|1.86|0.41|1.86|0.87;0001-01-01T00:00:04.520+01:00|W7|1.8|1.66|0.24|1.66|0.26;0001-01-01T00:00:04.520+01:00|W8|1.7|1.65|0.05|1.65|0.10;0001-01-01T00:00:04.520+01:00|W9|1.5|1.33|0.24|1.33|0.66;0001-01-01T00:00:04.520+01:00|W10|1.3|1.23|0.26|1.23|0.34;0001-01-01T00:00:04.520+01:00|W11|1.3|1.17|0.03|1.17|0.66;0001-01-01T00:00:04.520+01:00|W12|1.7|1.63|0.01|1.63|0.39"
8.00;3.18;0001-01-01T00:00:04.4540000+01:00;8.57;-0.17;-1.24;25.3;-1.116;9.237;-5.575;1.536;15.796;-9.765;95.598;-18.657;97.415;"0001-01-01T00:00:04.520+01:00|W1|1.1|1.02|0.26|1.02|0.43;0001-01-01T00:00:04.520+01:00|W2|1.2|0.86|0.05|0.86|0.76;0001-01-01T00:00:04.520+01:00|W3|1.6|1.54|0.48|1.54|0.47;0001-01-01T00:00:04.520+01:00|W4|1.1|0.37|0.05|0.37|0.84;0001-01-01T00:00:04.520+01:00|W5|1.7|1.60|0.18|1.60|0.49;0001-01-01T00:00:04.520+01:00|W6|2.1|1.86|0.41|1.86|0.87;0001-01-01T00:00:04.520+01:00|W7|1.8|1.66|0.24|1.66|0.26;0001-01-01T00:00:04.520+01:00|W8|1.7|1.65|0.05|1.65|0.10;0001-01-01T00:00:04.520+01:00|W9|1.5|1.33|0.24|1.33|0.66;0001-01-01T00:00:04.520+01:00|W10|1.3|1.23|0.26|1.23|0.34;0001-01-01T00:00:04.520+01:00|W11|1.3|1.17|0.03|1.17|0.66;0001-01-01T00:00:04.520+01:00|W12|1.7|1.63|0.01|1.63|0.39"
