Position;Height above ground [m];Time;X [m];Y [m];Z [m];Opening Angle [°];Stalling Angle Left [°];Stalling Angle Right [°];Roll Angle Left [°];Roll Angle Right [°];Yaw Angle Left [°];Yaw Angle Right [°];Speed hor. [km/h];Speed vert. [km/h];Speed resulting [km/h];WindTime|WindName|WindSpeed|WindSpeedTangent|WindTurbulence|WindSpeedCleanTan|WindSpeedCross
NaN;NaN;0001-01-01T00:00:00.0330000+01:00;-78.08;0.00;40.44;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.000;0.000;0.000;"0001-01-01T00:00:00.000+01:00|W1|1.4|1.31|0.00|1.31|0.41;0001-01-01T00:00:00.000+01:00|W2|0.9|0.32|0.11|0.32|0.77;0001-01-01T00:00:00.000+01:00|W3|2.4|2.34|0.03|2.34|0.05;0001-01-01T00:00:00.000+01:00|W4|1.6|1.16|0.00|1.16|0.92;0001-01-01T00:00:00.000+01:00|W5|2.1|1.89|0.20|1.89|0.88;0001-01-01T00:00:00.000+01:00|W6|1.4|1.25|0.53|1.25|0.15;0001-01-01T00:00:00.000+01:00|W7|2.7|2.62|0.25|2.62|0.40;0001-01-01T00:00:00.000+01:00|W8|1.9|1.73|0.10|1.73|0.44;0001-01-01T00:00:00.000+01:00|W9|1.5|1.52|0.26|1.52|0.15;0001-01-01T00:00:00.000+01:00|W10|2.7|2.60|0.10|2.60|0.52;0001-01-01T00:00:00.000+01:00|W11|1.7|1.16|0.09|1.16|1.14;0001-01-01T00:00:00.000+01:00|W12|1.6|1.24|0.40|1.24|0.58"
0.00;2.93;0001-01-01T00:00:04.2600000+01:00;0.02;0.00;-0.00;0.0;-11.500;-11.500;0.000;0.000;0.000;0.000;96.352;-19.603;98.326;"0001-01-01T00:00:04.249+01:00|W1|1.3|1.33|0.01|1.33|0.11;0001-01-01T00:00:04.249+01:00|W2|1.0|0.45|0.12|0.45|0.85;0001-01-01T00:00:04.249+01:00|W3|3.0|2.76|0.44|2.76|0.01;0001-01-01T00:00:04.249+01:00|W4|1.4|1.10|0.08|1.10|0.71;0001-01-01T00:00:04.249+01:00|W5|2.6|1.86|0.18|1.86|1.73;0001-01-01T00:00:04.249+01:00|W6|2.2|2.18|0.38|2.18|0.42;0001-01-01T00:00:04.249+01:00|W7|2.6|2.57|0.22|2.57|0.06;0001-01-01T00:00:04.249+01:00|W8|2.0|1.75|0.05|1.75|0.82;0001-01-01T00:00:04.249+01:00|W9|1.1|1.09|0.29|1.09|0.08;0001-01-01T00:00:04.249+01:00|W10|1.9|1.91|0.42|1.91|0.19;0001-01-01T00:00:04.249+01:00|W11|1.7|1.04|0.11|1.04|1.30;0001-01-01T00:00:04.249+01:00|W12|1.9|1.56|0.20|1.56|0.68"
1.00;2.87;0001-01-01T00:00:04.4350000+01:00;1.34;0.02;-0.21;3.9;-10.808;-14.730;-0.310;14.206;1.911;-2.320;97.274;-9.992;97.785;"0001-01-01T00:00:04.505+01:00|W1|1.5|1.47|0.13|1.47|0.07;0001-01-01T00:00:04.505+01:00|W2|1.1|0.45|0.13|0.45|0.85;0001-01-01T00:00:04.505+01:00|W3|3.0|2.87|0.49|2.87|0.09;0001-01-01T00:00:04.505+01:00|W4|1.3|1.11|0.09|1.11|0.69;0001-01-01T00:00:04.505+01:00|W5|2.5|1.82|0.10|1.82|1.71;0001-01-01T00:00:04.505+01:00|W6|2.3|2.24|0.40|2.24|0.35;0001-01-01T00:00:04.505+01:00|W7|2.6|2.57|0.23|2.57|0.03;0001-01-01T00:00:04.505+01:00|W8|2.1|1.85|0.03|1.85|0.79;0001-01-01T00:00:04.505+01:00|W9|1.1|1.06|0.32|1.06|0.09;0001-01-01T00:00:04.505+01:00|W10|1.9|1.89|0.40|1.89|0.22;0001-01-01T00:00:04.505+01:00|W11|1.6|0.96|0.17|0.96|1.29;0001-01-01T00:00:04.505+01:00|W12|1.8|1.53|0.13|1.53|0.69"
2.00;2.89;0001-01-01T00:00:04.4750000+01:00;2.38;0.02;-0.34;5.3;-9.873;-14.103;2.284;12.787;3.271;-4.194;98.373;-9.489;98.830;"0001-01-01T00:00:04.505+01:00|W1|1.5|1.47|0.13|1.47|0.07;0001-01-01T00:00:04.505+01:00|W2|1.1|0.45|0.13|0.45|0.85;0001-01-01T00:00:04.505+01:00|W3|3.0|2.87|0.49|2.87|0.09;0001-01-01T00:00:04.505+01:00|W4|1.3|1.11|0.09|1.11|0.69;0001-01-01T00:00:04.505+01:00|W5|2.5|1.82|0.10|1.82|1.71;0001-01-01T00:00:04.505+01:00|W6|2.3|2.24|0.40|2.24|0.35;0001-01-01T00:00:04.505+01:00|W7|2.6|2.57|0.23|2.57|0.03;0001-01-01T00:00:04.505+01:00|W8|2.1|1.85|0.03|1.85|0.79;0001-01-01T00:00:04.505+01:00|W9|1.1|1.06|0.32|1.06|0.09;0001-01-01T00:00:04.505+01:00|W10|1.9|1.89|0.40|1.89|0.22;0001-01-01T00:00:04.505+01:00|W11|1.6|0.96|0.17|0.96|1.29;0001-01-01T00:00:04.505+01:00|W12|1.8|1.53|0.13|1.53|0.69"
3.00;2.91;0001-01-01T00:00:04.5140000+01:00;3.41;0.03;-0.48;9.7;-6.782;-13.502;2.093;11.424;5.448;-5.992;98.087;-11.335;98.740;"0001-01-01T00:00:04.505+01:00|W1|1.5|1.47|0.13|1.47|0.07;0001-01-01T00:00:04.505+01:00|W2|1.1|0.45|0.13|0.45|0.85;0001-01-01T00:00:04.505+01:00|W3|3.0|2.87|0.49|2.87|0.09;0001-01-01T00:00:04.505+01:00|W4|1.3|1.11|0.09|1.11|0.69;0001-01-01T00:00:04.505+01:00|W5|2.5|1.82|0.10|1.82|1.71;0001-01-01T00:00:04.505+01:00|W6|2.3|2.24|0.40|2.24|0.35;0001-01-01T00:00:04.505+01:00|W7|2.6|2.57|0.23|2.57|0.03;0001-01-01T00:00:04.505+01:00|W8|2.1|1.85|0.03|1.85|0.79;0001-01-01T00:00:04.505+01:00|W9|1.1|1.06|0.32|1.06|0.09;0001-01-01T00:00:04.505+01:00|W10|1.9|1.89|0.40|1.89|0.22;0001-01-01T00:00:04.505+01:00|W11|1.6|0.96|0.17|0.96|1.29;0001-01-01T00:00:04.505+01:00|W12|1.8|1.53|0.13|1.53|0.69"
4.00;2.93;0001-01-01T00:00:04.5520000+01:00;4.45;0.04;-0.63;14.7;-3.321;-12.905;1.421;10.073;7.765;-7.776;97.561;-13.586;98.506;"0001-01-01T00:00:04.505+01:00|W1|1.5|1.47|0.13|1.47|0.07;0001-01-01T00:00:04.505+01:00|W2|1.1|0.45|0.13|0.45|0.85;0001-01-01T00:00:04.505+01:00|W3|3.0|2.87|0.49|2.87|0.09;0001-01-01T00:00:04.505+01:00|W4|1.3|1.11|0.09|1.11|0.69;0001-01-01T00:00:04.505+01:00|W5|2.5|1.82|0.10|1.82|1.71;0001-01-01T00:00:04.505+01:00|W6|2.3|2.24|0.40|2.24|0.35;0001-01-01T00:00:04.505+01:00|W7|2.6|2.57|0.23|2.57|0.03;0001-01-01T00:00:04.505+01:00|W8|2.1|1.85|0.03|1.85|0.79;0001-01-01T00:00:04.505+01:00|W9|1.1|1.06|0.32|1.06|0.09;0001-01-01T00:00:04.505+01:00|W10|1.9|1.89|0.40|1.89|0.22;0001-01-01T00:00:04.505+01:00|W11|1.6|0.96|0.17|0.96|1.29;0001-01-01T00:00:04.505+01:00|W12|1.8|1.53|0.13|1.53|0.69"
5.00;2.97;0001-01-01T00:00:04.5900000+01:00;5.48;0.04;-0.79;19.3;-0.058;-11.738;2.078;8.503;9.972;-9.430;96.975;-15.294;98.179;"0001-01-01T00:00:04.505+01:00|W1|1.5|1.47|0.13|1.47|0.07;0001-01-01T00:00:04.505+01:00|W2|1.1|0.45|0.13|0.45|0.85;0001-01-01T00:00:04.505+01:00|W3|3.0|2.87|0.49|2.87|0.09;0001-01-01T00:00:04.505+01:00|W4|1.3|1.11|0.09|1.11|0.69;0001-01-01T00:00:04.505+01:00|W5|2.5|1.82|0.10|1.82|1.71;0001-01-01T00:00:04.505+01:00|W6|2.3|2.24|0.40|2.24|0.35;0001-01-01T00:00:04.505+01:00|W7|2.6|2.57|0.23|2.57|0.03;0001-01-01T00:00:04.505+01:00|W8|2.1|1.85|0.03|1.85|0.79;0001-01-01T00:00:04.505+01:00|W9|1.1|1.06|0.32|1.06|0.09;0001-01-01T00:00:04.505+01:00|W10|1.9|1.89|0.40|1.89|0.22;0001-01-01T00:00:04.505+01:00|W11|1.6|0.96|0.17|0.96|1.29;0001-01-01T00:00:04.505+01:00|W12|1.8|1.53|0.13|1.53|0.69"
6.00;3.02;0001-01-01T00:00:04.6280000+01:00;6.51;0.05;-0.94;22.5;2.564;-8.704;7.084;6.215;11.825;-10.663;96.189;-15.232;97.391;"0001-01-01T00:00:04.749+01:00|W1|1.5|1.47|0.13|1.47|0.07;0001-01-01T00:00:04.749+01:00|W2|1.1|0.45|0.13|0.45|0.85;0001-01-01T00:00:04.749+01:00|W3|3.0|2.87|0.49|2.87|0.09;0001-01-01T00:00:04.749+01:00|W4|1.3|1.11|0.09|1.11|0.69;0001-01-01T00:00:04.749+01:00|W5|2.5|1.82|0.10|1.82|1.71;0001-01-01T00:00:04.749+01:00|W6|2.3|2.24|0.40|2.24|0.35;0001-01-01T00:00:04.749+01:00|W7|2.6|2.57|0.23|2.57|0.03;0001-01-01T00:00:04.749+01:00|W8|2.1|1.85|0.03|1.85|0.79;0001-01-01T00:00:04.749+01:00|W9|1.1|1.06|0.32|1.06|0.09;0001-01-01T00:00:04.749+01:00|W10|1.9|1.89|0.40|1.89|0.22;0001-01-01T00:00:04.749+01:00|W11|1.6|0.96|0.17|0.96|1.29;0001-01-01T00:00:04.749+01:00|W12|1.8|1.53|0.13|1.53|0.69"
7.00;3.07;0001-01-01T00:00:04.6660000+01:00;7.53;0.07;-1.12;24.9;4.435;-5.162;10.513;6.833;13.279;-11.676;96.475;-17.355;98.030;"0001-01-01T00:00:04.749+01:00|W1|1.5|1.47|0.13|1.47|0.07;0001-01-01T00:00:04.749+01:00|W2|1.1|0.45|0.13|0.45|0.85;0001-01-01T00:00:04.749+01:00|W3|3.0|2.87|0.49|2.87|0.09;0001-01-01T00:00:04.749+01:00|W4|1.3|1.11|0.09|1.11|0.69;0001-01-01T00:00:04.749+01:00|W5|2.5|1.82|0.10|1.82|1.71;0001-01-01T00:00:04.749+01:00|W6|2.3|2.24|0.40|2.24|0.35;0001-01-01T00:00:04.749+01:00|W7|2.6|2.57|0.23|2.57|0.03;0001-01-01T00:00:04.749+01:00|W8|2.1|1.85|0.03|1.85|0.79;0001-01-01T00:00:04.749+01:00|W9|1.1|1.06|0.32|1.06|0.09;0001-01-01T00:00:04.749+01:00|W10|1.9|1.89|0.40|1.89|0.22;0001-01-01T00:00:04.749+01:00|W11|1.6|0.96|0.17|0.96|1.29;0001-01-01T00:00:04.749+01:00|W12|1.8|1.53|0.13|1.53|0.69"
8.00;3.12;0001-01-01T00:00:04.7050000+01:00;8.56;0.08;-1.31;26.9;5.524;-2.208;14.016;5.745;14.481;-12.456;96.298;-18.153;97.999;"0001-01-01T00:00:04.749+01:00|W1|1.5|1.47|0.13|1.47|0.07;0001-01-01T00:00:04.749+01:00|W2|1.1|0.45|0.13|0.45|0.85;0001-01-01T00:00:04.749+01:00|W3|3.0|2.87|0.49|2.87|0.09;0001-01-01T00:00:04.749+01:00|W4|1.3|1.11|0.09|1.11|0.69;0001-01-01T00:00:04.749+01:00|W5|2.5|1.82|0.10|1.82|1.71;0001-01-01T00:00:04.749+01:00|W6|2.3|2.24|0.40|2.24|0.35;0001-01-01T00:00:04.749+01:00|W7|2.6|2.57|0.23|2.57|0.03;0001-01-01T00:00:04.749+01:00|W8|2.1|1.85|0.03|1.85|0.79;0001-01-01T00:00:04.749+01:00|W9|1.1|1.06|0.32|1.06|0.09;0001-01-01T00:00:04.749+01:00|W10|1.9|1.89|0.40|1.89|0.22;0001-01-01T00:00:04.749+01:00|W11|1.6|0.96|0.17|0.96|1.29;0001-01-01T00:00:04.749+01:00|W12|1.8|1.53|0.13|1.53|0.69"
