Position;Height above ground [m];Time;X [m];Y [m];Z [m];Opening Angle [°];Stalling Angle Left [°];Stalling Angle Right [°];Roll Angle Left [°];Roll Angle Right [°];Yaw Angle Left [°];Yaw Angle Right [°];Speed hor. [km/h];Speed vert. [km/h];Speed resulting [km/h];WindTime|WindName|WindSpeed|WindSpeedTangent|WindTurbulence|WindSpeedCleanTan|WindSpeedCross
-91.29;NaN;0001-01-01T00:00:00.0000000+01:00;-80.07;0.00;42.03;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.000;0.000;0.000;"0001-01-01T00:00:00.061+01:00|W1|1.8|1.72|0.28|1.72|0.61;0001-01-01T00:00:00.061+01:00|W2|0.6|0.22|0.21|0.22|0.45;0001-01-01T00:00:00.061+01:00|W3|1.6|1.48|0.08|1.48|0.56;0001-01-01T00:00:00.061+01:00|W4|0.7|0.29|0.04|0.29|0.58;0001-01-01T00:00:00.061+01:00|W5|1.7|1.30|0.34|1.30|1.04;0001-01-01T00:00:00.061+01:00|W6|1.0|0.79|0.02|0.79|0.29;0001-01-01T00:00:00.061+01:00|W7|0.5|0.16|0.10|0.16|0.47;0001-01-01T00:00:00.061+01:00|W8|0.7|0.68|0.17|0.68|0.03;0001-01-01T00:00:00.061+01:00|W9|1.0|0.42|0.12|0.42|0.95;0001-01-01T00:00:00.061+01:00|W10|0.5|0.04|0.23|0.04|0.16;0001-01-01T00:00:00.061+01:00|W11|0.8|0.54|0.13|0.54|0.56;0001-01-01T00:00:00.061+01:00|W12|1.1|0.71|0.28|0.71|0.71"
0.00;2.93;0001-01-01T00:00:03.9960000+01:00;0.00;0.00;-0.00;0.0;-11.500;-11.500;0.000;0.000;0.000;0.000;97.575;-19.852;99.574;"0001-01-01T00:00:04.058+01:00|W1|1.3|1.31|0.24|1.31|0.02;0001-01-01T00:00:04.058+01:00|W2|0.9|0.48|0.17|0.48|0.61;0001-01-01T00:00:04.058+01:00|W3|1.5|1.45|0.07|1.45|0.03;0001-01-01T00:00:04.058+01:00|W4|0.8|0.33|0.06|0.33|0.69;0001-01-01T00:00:04.058+01:00|W5|1.4|1.30|0.08|1.30|0.49;0001-01-01T00:00:04.058+01:00|W6|1.2|0.92|0.11|0.92|0.68;0001-01-01T00:00:04.058+01:00|W7|0.6|0.21|0.01|0.21|0.57;0001-01-01T00:00:04.058+01:00|W8|1.1|1.05|0.20|1.05|0.03;0001-01-01T00:00:04.058+01:00|W9|0.9|0.33|0.06|0.33|0.85;0001-01-01T00:00:04.058+01:00|W10|0.7|0.28|0.16|0.28|0.06;0001-01-01T00:00:04.058+01:00|W11|1.1|0.76|0.17|0.76|0.71;0001-01-01T00:00:04.058+01:00|W12|1.5|1.26|0.26|1.26|0.79"
1.00;2.89;0001-01-01T00:00:04.1920000+01:00;1.33;-0.00;-0.20;5.2;-11.227;-14.607;0.633;-2.306;1.848;-3.452;96.245;-13.487;97.186;"0001-01-01T00:00:04.306+01:00|W1|1.3|1.30|0.20|1.30|0.09;0001-01-01T00:00:04.306+01:00|W2|0.9|0.50|0.17|0.50|0.61;0001-01-01T00:00:04.306+01:00|W3|1.3|1.24|0.10|1.24|0.09;0001-01-01T00:00:04.306+01:00|W4|0.8|0.33|0.07|0.33|0.70;0001-01-01T00:00:04.306+01:00|W5|1.4|1.23|0.06|1.23|0.63;0001-01-01T00:00:04.306+01:00|W6|1.3|1.17|0.04|1.17|0.45;0001-01-01T00:00:04.306+01:00|W7|0.5|0.32|0.10|0.32|0.41;0001-01-01T00:00:04.306+01:00|W8|1.1|1.03|0.16|1.03|0.18;0001-01-01T00:00:04.306+01:00|W9|0.9|0.32|0.10|0.32|0.80;0001-01-01T00:00:04.306+01:00|W10|0.8|0.20|0.24|0.20|0.01;0001-01-01T00:00:04.306+01:00|W11|1.4|1.06|0.48|1.06|0.93;0001-01-01T00:00:04.306+01:00|W12|1.4|1.15|0.11|1.15|0.73"
2.00;2.90;0001-01-01T00:00:04.2380000+01:00;2.38;-0.00;-0.33;10.5;-8.718;-14.312;-1.028;-1.326;3.929;-6.724;96.074;-13.267;96.985;"0001-01-01T00:00:04.306+01:00|W1|1.3|1.30|0.20|1.30|0.09;0001-01-01T00:00:04.306+01:00|W2|0.9|0.50|0.17|0.50|0.61;0001-01-01T00:00:04.306+01:00|W3|1.3|1.24|0.10|1.24|0.09;0001-01-01T00:00:04.306+01:00|W4|0.8|0.33|0.07|0.33|0.70;0001-01-01T00:00:04.306+01:00|W5|1.4|1.23|0.06|1.23|0.63;0001-01-01T00:00:04.306+01:00|W6|1.3|1.17|0.04|1.17|0.45;0001-01-01T00:00:04.306+01:00|W7|0.5|0.32|0.10|0.32|0.41;0001-01-01T00:00:04.306+01:00|W8|1.1|1.03|0.16|1.03|0.18;0001-01-01T00:00:04.306+01:00|W9|0.9|0.32|0.10|0.32|0.80;0001-01-01T00:00:04.306+01:00|W10|0.8|0.20|0.24|0.20|0.01;0001-01-01T00:00:04.306+01:00|W11|1.4|1.06|0.48|1.06|0.93;0001-01-01T00:00:04.306+01:00|W12|1.4|1.15|0.11|1.15|0.73"
3.00;2.93;0001-01-01T00:00:04.2770000+01:00;3.42;-0.00;-0.47;15.8;-6.113;-13.861;-2.790;-0.196;6.014;-9.978;95.956;-13.332;96.878;"0001-01-01T00:00:04.306+01:00|W1|1.3|1.30|0.20|1.30|0.09;0001-01-01T00:00:04.306+01:00|W2|0.9|0.50|0.17|0.50|0.61;0001-01-01T00:00:04.306+01:00|W3|1.3|1.24|0.10|1.24|0.09;0001-01-01T00:00:04.306+01:00|W4|0.8|0.33|0.07|0.33|0.70;0001-01-01T00:00:04.306+01:00|W5|1.4|1.23|0.06|1.23|0.63;0001-01-01T00:00:04.306+01:00|W6|1.3|1.17|0.04|1.17|0.45;0001-01-01T00:00:04.306+01:00|W7|0.5|0.32|0.10|0.32|0.41;0001-01-01T00:00:04.306+01:00|W8|1.1|1.03|0.16|1.03|0.18;0001-01-01T00:00:04.306+01:00|W9|0.9|0.32|0.10|0.32|0.80;0001-01-01T00:00:04.306+01:00|W10|0.8|0.20|0.24|0.20|0.01;0001-01-01T00:00:04.306+01:00|W11|1.4|1.06|0.48|1.06|0.93;0001-01-01T00:00:04.306+01:00|W12|1.4|1.15|0.11|1.15|0.73"
4.00;2.96;0001-01-01T00:00:04.3160000+01:00;4.45;-0.00;-0.61;20.9;-2.822;-11.805;-5.993;0.809;8.100;-13.008;94.890;-13.460;95.840;"0001-01-01T00:00:04.306+01:00|W1|1.3|1.30|0.20|1.30|0.09;0001-01-01T00:00:04.306+01:00|W2|0.9|0.50|0.17|0.50|0.61;0001-01-01T00:00:04.306+01:00|W3|1.3|1.24|0.10|1.24|0.09;0001-01-01T00:00:04.306+01:00|W4|0.8|0.33|0.07|0.33|0.70;0001-01-01T00:00:04.306+01:00|W5|1.4|1.23|0.06|1.23|0.63;0001-01-01T00:00:04.306+01:00|W6|1.3|1.17|0.04|1.17|0.45;0001-01-01T00:00:04.306+01:00|W7|0.5|0.32|0.10|0.32|0.41;0001-01-01T00:00:04.306+01:00|W8|1.1|1.03|0.16|1.03|0.18;0001-01-01T00:00:04.306+01:00|W9|0.9|0.32|0.10|0.32|0.80;0001-01-01T00:00:04.306+01:00|W10|0.8|0.20|0.24|0.20|0.01;0001-01-01T00:00:04.306+01:00|W11|1.4|1.06|0.48|1.06|0.93;0001-01-01T00:00:04.306+01:00|W12|1.4|1.15|0.11|1.15|0.73"
5.00;3.00;0001-01-01T00:00:04.3560000+01:00;5.48;-0.00;-0.76;25.6;1.589;-6.904;-10.616;1.612;10.134;-15.527;92.563;-13.829;93.593;"0001-01-01T00:00:04.306+01:00|W1|1.3|1.30|0.20|1.30|0.09;0001-01-01T00:00:04.306+01:00|W2|0.9|0.50|0.17|0.50|0.61;0001-01-01T00:00:04.306+01:00|W3|1.3|1.24|0.10|1.24|0.09;0001-01-01T00:00:04.306+01:00|W4|0.8|0.33|0.07|0.33|0.70;0001-01-01T00:00:04.306+01:00|W5|1.4|1.23|0.06|1.23|0.63;0001-01-01T00:00:04.306+01:00|W6|1.3|1.17|0.04|1.17|0.45;0001-01-01T00:00:04.306+01:00|W7|0.5|0.32|0.10|0.32|0.41;0001-01-01T00:00:04.306+01:00|W8|1.1|1.03|0.16|1.03|0.18;0001-01-01T00:00:04.306+01:00|W9|0.9|0.32|0.10|0.32|0.80;0001-01-01T00:00:04.306+01:00|W10|0.8|0.20|0.24|0.20|0.01;0001-01-01T00:00:04.306+01:00|W11|1.4|1.06|0.48|1.06|0.93;0001-01-01T00:00:04.306+01:00|W12|1.4|1.15|0.11|1.15|0.73"
6.00;3.03;0001-01-01T00:00:04.3950000+01:00;6.51;0.01;-0.93;28.5;5.633;-1.017;-7.445;2.463;11.717;-16.979;92.879;-15.239;94.125;"0001-01-01T00:00:04.306+01:00|W1|1.3|1.30|0.20|1.30|0.09;0001-01-01T00:00:04.306+01:00|W2|0.9|0.50|0.17|0.50|0.61;0001-01-01T00:00:04.306+01:00|W3|1.3|1.24|0.10|1.24|0.09;0001-01-01T00:00:04.306+01:00|W4|0.8|0.33|0.07|0.33|0.70;0001-01-01T00:00:04.306+01:00|W5|1.4|1.23|0.06|1.23|0.63;0001-01-01T00:00:04.306+01:00|W6|1.3|1.17|0.04|1.17|0.45;0001-01-01T00:00:04.306+01:00|W7|0.5|0.32|0.10|0.32|0.41;0001-01-01T00:00:04.306+01:00|W8|1.1|1.03|0.16|1.03|0.18;0001-01-01T00:00:04.306+01:00|W9|0.9|0.32|0.10|0.32|0.80;0001-01-01T00:00:04.306+01:00|W10|0.8|0.20|0.24|0.20|0.01;0001-01-01T00:00:04.306+01:00|W11|1.4|1.06|0.48|1.06|0.93;0001-01-01T00:00:04.306+01:00|W12|1.4|1.15|0.11|1.15|0.73"
7.00;3.09;0001-01-01T00:00:04.4350000+01:00;7.54;0.01;-1.10;31.4;9.676;4.867;-4.275;3.314;13.299;-18.431;93.196;-16.647;94.676;"0001-01-01T00:00:04.560+01:00|W1|1.3|1.29|0.17|1.29|0.13;0001-01-01T00:00:04.560+01:00|W2|0.9|0.50|0.16|0.50|0.61;0001-01-01T00:00:04.560+01:00|W3|1.3|1.24|0.11|1.24|0.04;0001-01-01T00:00:04.560+01:00|W4|0.8|0.37|0.08|0.37|0.70;0001-01-01T00:00:04.560+01:00|W5|1.4|1.23|0.01|1.23|0.73;0001-01-01T00:00:04.560+01:00|W6|1.3|1.24|0.01|1.24|0.38;0001-01-01T00:00:04.560+01:00|W7|0.6|0.38|0.09|0.38|0.39;0001-01-01T00:00:04.560+01:00|W8|1.1|1.05|0.17|1.05|0.18;0001-01-01T00:00:04.560+01:00|W9|0.9|0.33|0.10|0.33|0.79;0001-01-01T00:00:04.560+01:00|W10|0.8|0.17|0.21|0.17|0.05;0001-01-01T00:00:04.560+01:00|W11|1.6|1.16|0.57|1.16|1.00;0001-01-01T00:00:04.560+01:00|W12|1.3|1.07|0.01|1.07|0.65"
8.00;3.15;0001-01-01T00:00:04.4750000+01:00;8.56;0.02;-1.28;33.6;12.160;8.928;1.652;2.341;14.850;-19.407;93.706;-17.645;95.358;"0001-01-01T00:00:04.560+01:00|W1|1.3|1.29|0.17|1.29|0.13;0001-01-01T00:00:04.560+01:00|W2|0.9|0.50|0.16|0.50|0.61;0001-01-01T00:00:04.560+01:00|W3|1.3|1.24|0.11|1.24|0.04;0001-01-01T00:00:04.560+01:00|W4|0.8|0.37|0.08|0.37|0.70;0001-01-01T00:00:04.560+01:00|W5|1.4|1.23|0.01|1.23|0.73;0001-01-01T00:00:04.560+01:00|W6|1.3|1.24|0.01|1.24|0.38;0001-01-01T00:00:04.560+01:00|W7|0.6|0.38|0.09|0.38|0.39;0001-01-01T00:00:04.560+01:00|W8|1.1|1.05|0.17|1.05|0.18;0001-01-01T00:00:04.560+01:00|W9|0.9|0.33|0.10|0.33|0.79;0001-01-01T00:00:04.560+01:00|W10|0.8|0.17|0.21|0.17|0.05;0001-01-01T00:00:04.560+01:00|W11|1.6|1.16|0.57|1.16|1.00;0001-01-01T00:00:04.560+01:00|W12|1.3|1.07|0.01|1.07|0.65"
