Position;Height above ground [m];Time;X [m];Y [m];Z [m];Opening Angle [°];Stalling Angle Left [°];Stalling Angle Right [°];Roll Angle Left [°];Roll Angle Right [°];Yaw Angle Left [°];Yaw Angle Right [°];Speed hor. [km/h];Speed vert. [km/h];Speed resulting [km/h];WindTime|WindName|WindSpeed|WindSpeedTangent|WindTurbulence|WindSpeedCleanTan|WindSpeedCross
-29.30;NaN;0001-01-01T00:00:00.0000000+01:00;-27.65;0.00;7.12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.000;0.000;0.000;"0001-01-01T00:00:00.098+01:00|W1|1.5|-0.09|0.10|-0.09|1.42;0001-01-01T00:00:00.098+01:00|W2|0.6|-0.30|0.12|-0.30|0.26;0001-01-01T00:00:00.098+01:00|W3|1.1|0.00|0.04|0.00|1.03;0001-01-01T00:00:00.098+01:00|W4|0.6|0.48|0.46|0.48|0.20;0001-01-01T00:00:00.098+01:00|W5|1.2|0.71|0.12|0.71|0.90;0001-01-01T00:00:00.098+01:00|W6|0.9|0.35|0.23|0.35|0.22;0001-01-01T00:00:00.098+01:00|W7|3.2|0.63|0.79|0.63|2.98;0001-01-01T00:00:00.098+01:00|W8|2.2|0.53|0.05|0.53|2.01;0001-01-01T00:00:00.098+01:00|W9|2.4|-2.29|0.36|-2.29|0.85;0001-01-01T00:00:00.098+01:00|W10|1.5|-0.74|0.08|-0.74|1.28;0001-01-01T00:00:00.098+01:00|W11|0.5|0.44|0.14|0.44|0.11;0001-01-01T00:00:00.098+01:00|W12|2.1|-2.06|0.43|-2.06|0.51"
0.00;2.93;0001-01-01T00:00:00.8400000+01:00;0.04;0.00;-0.01;0.0;-11.500;-11.500;0.000;0.000;0.000;0.000;98.757;-20.092;100.780;"0001-01-01T00:00:00.853+01:00|W1|1.5|-0.19|0.04|-0.19|1.47;0001-01-01T00:00:00.853+01:00|W2|0.6|-0.28|0.15|-0.28|0.28;0001-01-01T00:00:00.853+01:00|W3|1.1|0.02|0.00|0.02|1.07;0001-01-01T00:00:00.853+01:00|W4|0.8|0.62|0.20|0.62|0.08;0001-01-01T00:00:00.853+01:00|W5|1.1|0.68|0.11|0.68|0.89;0001-01-01T00:00:00.853+01:00|W6|0.9|0.46|0.20|0.46|0.46;0001-01-01T00:00:00.853+01:00|W7|3.1|0.23|0.61|0.23|3.06;0001-01-01T00:00:00.853+01:00|W8|2.2|0.78|0.04|0.78|2.05;0001-01-01T00:00:00.853+01:00|W9|2.3|-2.17|0.12|-2.17|0.47;0001-01-01T00:00:00.853+01:00|W10|1.5|-0.70|0.06|-0.70|1.27;0001-01-01T00:00:00.853+01:00|W11|0.6|0.49|0.03|0.49|0.10;0001-01-01T00:00:00.853+01:00|W12|2.3|-2.24|0.19|-2.24|0.20"
1.00;2.90;0001-01-01T00:00:01.0740000+01:00;1.34;-0.01;-0.18;3.7;-9.641;-8.956;0.536;0.527;1.649;-2.080;97.282;-11.406;97.950;"0001-01-01T00:00:01.101+01:00|W1|1.5|-0.22|0.03|-0.22|1.47;0001-01-01T00:00:01.101+01:00|W2|0.6|-0.29|0.13|-0.29|0.29;0001-01-01T00:00:01.101+01:00|W3|1.1|0.04|0.00|0.04|1.06;0001-01-01T00:00:01.101+01:00|W4|0.9|0.57|0.10|0.57|0.20;0001-01-01T00:00:01.101+01:00|W5|1.0|0.57|0.01|0.57|0.81;0001-01-01T00:00:01.101+01:00|W6|1.0|0.50|0.14|0.50|0.53;0001-01-01T00:00:01.101+01:00|W7|2.9|0.13|0.33|0.13|2.88;0001-01-01T00:00:01.101+01:00|W8|2.3|0.79|0.09|0.79|2.10;0001-01-01T00:00:01.101+01:00|W9|2.2|-2.12|0.04|-2.12|0.39;0001-01-01T00:00:01.101+01:00|W10|1.5|-0.74|0.02|-0.74|1.27;0001-01-01T00:00:01.101+01:00|W11|0.7|0.46|0.04|0.46|0.11;0001-01-01T00:00:01.101+01:00|W12|2.4|-2.25|0.17|-2.25|0.25"
2.00;2.94;0001-01-01T00:00:01.1250000+01:00;2.39;-0.01;-0.29;6.2;-6.031;-4.535;-0.661;2.823;2.955;-3.222;97.816;-9.660;98.293;"0001-01-01T00:00:01.101+01:00|W1|1.5|-0.22|0.03|-0.22|1.47;0001-01-01T00:00:01.101+01:00|W2|0.6|-0.29|0.13|-0.29|0.29;0001-01-01T00:00:01.101+01:00|W3|1.1|0.04|0.00|0.04|1.06;0001-01-01T00:00:01.101+01:00|W4|0.9|0.57|0.10|0.57|0.20;0001-01-01T00:00:01.101+01:00|W5|1.0|0.57|0.01|0.57|0.81;0001-01-01T00:00:01.101+01:00|W6|1.0|0.50|0.14|0.50|0.53;0001-01-01T00:00:01.101+01:00|W7|2.9|0.13|0.33|0.13|2.88;0001-01-01T00:00:01.101+01:00|W8|2.3|0.79|0.09|0.79|2.10;0001-01-01T00:00:01.101+01:00|W9|2.2|-2.12|0.04|-2.12|0.39;0001-01-01T00:00:01.101+01:00|W10|1.5|-0.74|0.02|-0.74|1.27;0001-01-01T00:00:01.101+01:00|W11|0.7|0.46|0.04|0.46|0.11;0001-01-01T00:00:01.101+01:00|W12|2.4|-2.25|0.17|-2.25|0.25"
3.00;3.00;0001-01-01T00:00:01.1630000+01:00;3.43;-0.01;-0.40;8.9;-1.579;1.196;-2.339;5.379;4.534;-4.361;98.811;-9.945;99.310;"0001-01-01T00:00:01.101+01:00|W1|1.5|-0.22|0.03|-0.22|1.47;0001-01-01T00:00:01.101+01:00|W2|0.6|-0.29|0.13|-0.29|0.29;0001-01-01T00:00:01.101+01:00|W3|1.1|0.04|0.00|0.04|1.06;0001-01-01T00:00:01.101+01:00|W4|0.9|0.57|0.10|0.57|0.20;0001-01-01T00:00:01.101+01:00|W5|1.0|0.57|0.01|0.57|0.81;0001-01-01T00:00:01.101+01:00|W6|1.0|0.50|0.14|0.50|0.53;0001-01-01T00:00:01.101+01:00|W7|2.9|0.13|0.33|0.13|2.88;0001-01-01T00:00:01.101+01:00|W8|2.3|0.79|0.09|0.79|2.10;0001-01-01T00:00:01.101+01:00|W9|2.2|-2.12|0.04|-2.12|0.39;0001-01-01T00:00:01.101+01:00|W10|1.5|-0.74|0.02|-0.74|1.27;0001-01-01T00:00:01.101+01:00|W11|0.7|0.46|0.04|0.46|0.11;0001-01-01T00:00:01.101+01:00|W12|2.4|-2.25|0.17|-2.25|0.25"
4.00;3.06;0001-01-01T00:00:01.2010000+01:00;4.47;-0.03;-0.51;11.6;3.084;7.721;-2.355;5.227;6.223;-5.386;98.388;-11.685;99.081;"0001-01-01T00:00:01.101+01:00|W1|1.5|-0.22|0.03|-0.22|1.47;0001-01-01T00:00:01.101+01:00|W2|0.6|-0.29|0.13|-0.29|0.29;0001-01-01T00:00:01.101+01:00|W3|1.1|0.04|0.00|0.04|1.06;0001-01-01T00:00:01.101+01:00|W4|0.9|0.57|0.10|0.57|0.20;0001-01-01T00:00:01.101+01:00|W5|1.0|0.57|0.01|0.57|0.81;0001-01-01T00:00:01.101+01:00|W6|1.0|0.50|0.14|0.50|0.53;0001-01-01T00:00:01.101+01:00|W7|2.9|0.13|0.33|0.13|2.88;0001-01-01T00:00:01.101+01:00|W8|2.3|0.79|0.09|0.79|2.10;0001-01-01T00:00:01.101+01:00|W9|2.2|-2.12|0.04|-2.12|0.39;0001-01-01T00:00:01.101+01:00|W10|1.5|-0.74|0.02|-0.74|1.27;0001-01-01T00:00:01.101+01:00|W11|0.7|0.46|0.04|0.46|0.11;0001-01-01T00:00:01.101+01:00|W12|2.4|-2.25|0.17|-2.25|0.25"
5.00;3.11;0001-01-01T00:00:01.2390000+01:00;5.50;-0.03;-0.65;14.1;5.234;11.282;-1.020;5.427;7.988;-6.290;98.093;-13.063;98.960;"0001-01-01T00:00:01.348+01:00|W1|1.5|-0.29|0.05|-0.29|1.44;0001-01-01T00:00:01.348+01:00|W2|0.6|-0.29|0.11|-0.29|0.28;0001-01-01T00:00:01.348+01:00|W3|1.1|0.09|0.02|0.09|1.03;0001-01-01T00:00:01.348+01:00|W4|1.0|0.56|0.03|0.56|0.25;0001-01-01T00:00:01.348+01:00|W5|1.0|0.52|0.05|0.52|0.79;0001-01-01T00:00:01.348+01:00|W6|0.9|0.44|0.14|0.44|0.54;0001-01-01T00:00:01.348+01:00|W7|2.9|0.20|0.31|0.20|2.87;0001-01-01T00:00:01.348+01:00|W8|2.3|0.79|0.09|0.79|2.10;0001-01-01T00:00:01.348+01:00|W9|2.1|-2.05|0.04|-2.05|0.39;0001-01-01T00:00:01.348+01:00|W10|1.7|-0.89|0.20|-0.89|1.37;0001-01-01T00:00:01.348+01:00|W11|0.7|0.47|0.04|0.47|0.05;0001-01-01T00:00:01.348+01:00|W12|2.3|-2.20|0.23|-2.20|0.39"
6.00;3.18;0001-01-01T00:00:01.2770000+01:00;6.54;-0.03;-0.79;16.6;7.385;14.844;0.315;5.626;9.754;-7.194;97.797;-14.440;98.859;"0001-01-01T00:00:01.348+01:00|W1|1.5|-0.29|0.05|-0.29|1.44;0001-01-01T00:00:01.348+01:00|W2|0.6|-0.29|0.11|-0.29|0.28;0001-01-01T00:00:01.348+01:00|W3|1.1|0.09|0.02|0.09|1.03;0001-01-01T00:00:01.348+01:00|W4|1.0|0.56|0.03|0.56|0.25;0001-01-01T00:00:01.348+01:00|W5|1.0|0.52|0.05|0.52|0.79;0001-01-01T00:00:01.348+01:00|W6|0.9|0.44|0.14|0.44|0.54;0001-01-01T00:00:01.348+01:00|W7|2.9|0.20|0.31|0.20|2.87;0001-01-01T00:00:01.348+01:00|W8|2.3|0.79|0.09|0.79|2.10;0001-01-01T00:00:01.348+01:00|W9|2.1|-2.05|0.04|-2.05|0.39;0001-01-01T00:00:01.348+01:00|W10|1.7|-0.89|0.20|-0.89|1.37;0001-01-01T00:00:01.348+01:00|W11|0.7|0.47|0.04|0.47|0.05;0001-01-01T00:00:01.348+01:00|W12|2.3|-2.20|0.23|-2.20|0.39"
7.00;3.24;0001-01-01T00:00:01.3150000+01:00;7.57;-0.04;-0.95;19.0;8.698;16.962;1.335;5.328;11.461;-8.001;97.778;-16.401;99.145;"0001-01-01T00:00:01.348+01:00|W1|1.5|-0.29|0.05|-0.29|1.44;0001-01-01T00:00:01.348+01:00|W2|0.6|-0.29|0.11|-0.29|0.28;0001-01-01T00:00:01.348+01:00|W3|1.1|0.09|0.02|0.09|1.03;0001-01-01T00:00:01.348+01:00|W4|1.0|0.56|0.03|0.56|0.25;0001-01-01T00:00:01.348+01:00|W5|1.0|0.52|0.05|0.52|0.79;0001-01-01T00:00:01.348+01:00|W6|0.9|0.44|0.14|0.44|0.54;0001-01-01T00:00:01.348+01:00|W7|2.9|0.20|0.31|0.20|2.87;0001-01-01T00:00:01.348+01:00|W8|2.3|0.79|0.09|0.79|2.10;0001-01-01T00:00:01.348+01:00|W9|2.1|-2.05|0.04|-2.05|0.39;0001-01-01T00:00:01.348+01:00|W10|1.7|-0.89|0.20|-0.89|1.37;0001-01-01T00:00:01.348+01:00|W11|0.7|0.47|0.04|0.47|0.05;0001-01-01T00:00:01.348+01:00|W12|2.3|-2.20|0.23|-2.20|0.39"
8.00;3.29;0001-01-01T00:00:01.3530000+01:00;8.60;-0.05;-1.14;21.2;8.698;16.721;2.136;3.970;13.063;-8.646;98.141;-19.050;99.975;"0001-01-01T00:00:01.348+01:00|W1|1.5|-0.29|0.05|-0.29|1.44;0001-01-01T00:00:01.348+01:00|W2|0.6|-0.29|0.11|-0.29|0.28;0001-01-01T00:00:01.348+01:00|W3|1.1|0.09|0.02|0.09|1.03;0001-01-01T00:00:01.348+01:00|W4|1.0|0.56|0.03|0.56|0.25;0001-01-01T00:00:01.348+01:00|W5|1.0|0.52|0.05|0.52|0.79;0001-01-01T00:00:01.348+01:00|W6|0.9|0.44|0.14|0.44|0.54;0001-01-01T00:00:01.348+01:00|W7|2.9|0.20|0.31|0.20|2.87;0001-01-01T00:00:01.348+01:00|W8|2.3|0.79|0.09|0.79|2.10;0001-01-01T00:00:01.348+01:00|W9|2.1|-2.05|0.04|-2.05|0.39;0001-01-01T00:00:01.348+01:00|W10|1.7|-0.89|0.20|-0.89|1.37;0001-01-01T00:00:01.348+01:00|W11|0.7|0.47|0.04|0.47|0.05;0001-01-01T00:00:01.348+01:00|W12|2.3|-2.20|0.23|-2.20|0.39"
