dict_id,length,Speed hor. [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
-1. point,193.23749144511268,98.031,1.5,0.28,0.42,0.28,1.44,1.0,-0.41,0.37,-0.41,0.04,1.2,0.51,0.02,0.51,1.06,2.0,0.33,0.4,0.33,2.0,1.1,-0.23,0.08,-0.23,1.02,0.5,-0.22,0.16,-0.22,0.32,0.7,0.07,1.18,0.07,0.7,0.7,0.11,0.0,0.11,0.6,1.3,-0.93,0.1,-0.93,0.79,1.3,-1.28,0.04,-1.28,0.36,0.6,0.44,0.05,0.44,0.1,1.0,-0.94,0.06,-0.94,0.33
-1. point,188.63729959899234,95.469,0.7,0.58,0.09,0.58,0.31,0.2,0.13,0.04,0.13,0.12,0.8,-0.16,0.3,-0.16,0.67,0.6,0.56,0.03,0.56,0.03,0.4,-0.24,0.04,-0.24,0.3,0.6,0.17,0.06,0.17,0.1,0.5,-0.41,0.1,-0.41,0.22,1.0,0.97,0.07,0.97,0.11,1.4,1.07,0.33,1.07,0.74,0.4,0.33,0.01,0.33,0.12,0.6,0.03,0.01,0.03,0.43,0.6,-0.09,0.07,-0.09,0.46
-1. point,183.82165215229676,177.806,1.0,0.99,0.02,0.99,0.01,0.5,0.44,0.07,0.44,0.21,0.4,0.39,0.1,0.39,0.08,0.7,0.64,0.09,0.64,0.2,0.5,0.4,0.05,0.4,0.26,1.4,1.38,0.23,1.38,0.31,0.7,-0.08,0.05,-0.08,0.63,1.2,0.78,0.22,0.78,0.82,0.5,0.34,0.02,0.34,0.36,0.3,-0.11,0.02,-0.11,0.24,0.9,0.61,0.0,0.61,0.66,1.5,-0.8,0.08,-0.8,1.16
-1. point,179.474739448202,93.465,0.9,0.85,0.24,0.85,0.28,1.0,0.95,0.17,0.95,0.33,1.7,1.71,0.29,1.71,0.29,1.3,1.21,0.21,1.21,0.31,1.6,0.42,0.37,0.42,1.56,0.5,0.28,0.03,0.28,0.38,0.4,0.11,0.14,0.11,0.03,0.4,0.18,0.17,0.18,0.32,0.5,0.31,0.0,0.31,0.38,0.4,-0.26,0.07,-0.26,0.25,0.5,-0.32,0.12,-0.32,0.19,0.1,-0.06,0.05,-0.06,0.12
-1. point,179.88638358697415,113.59,1.1,1.07,0.12,1.07,0.12,0.8,0.71,0.15,0.71,0.29,0.6,0.53,0.18,0.53,0.18,1.0,0.95,0.08,0.95,0.17,0.2,0.11,0.05,0.11,0.01,0.5,0.53,0.02,0.53,0.01,0.2,0.12,0.14,0.12,0.05,0.6,0.55,0.09,0.55,0.13,0.9,0.12,0.04,0.12,0.76,0.8,0.75,0.17,0.75,0.21,0.4,-0.22,0.03,-0.22,0.25,1.0,0.86,0.02,0.86,0.37
-1. point,186.20930723247966,93.002,0.2,0.0,0.02,0.0,0.24,0.5,0.36,0.1,0.36,0.09,1.1,1.09,0.0,1.09,0.09,0.8,0.73,0.03,0.73,0.23,0.6,-0.19,0.07,-0.19,0.6,0.8,0.74,0.23,0.74,0.13,0.9,0.15,0.13,0.15,0.2,1.4,1.27,0.45,1.27,0.1,0.5,-0.31,0.05,-0.31,0.19,0.4,0.02,0.04,0.02,0.07,0.8,-0.58,0.02,-0.58,0.56,0.1,-0.05,0.06,-0.05,0.05
-1. point,194.16780732139918,94.945,2.1,1.93,0.08,1.93,0.66,1.0,0.66,0.07,0.66,0.55,2.0,1.99,0.32,1.99,0.13,1.4,1.21,0.07,1.21,0.47,1.6,1.41,0.28,1.41,0.73,1.0,0.91,0.03,0.91,0.23,1.4,1.07,0.29,1.07,0.88,0.9,0.89,0.2,0.89,0.27,2.2,2.11,0.02,2.11,0.59,0.5,0.01,0.02,0.01,0.19,0.8,0.54,0.59,0.54,0.58,1.5,1.37,0.05,1.37,0.11
-1. point,224.37627548383986,88.514,1.7,1.54,0.13,1.54,0.09,1.2,0.71,0.03,0.71,0.91,1.6,1.54,0.15,1.54,0.45,1.0,0.82,0.1,0.82,0.5,1.4,1.43,0.21,1.43,0.06,1.9,1.86,0.14,1.86,0.09,2.5,2.53,0.15,2.53,0.07,1.3,1.23,0.38,1.23,0.4,1.8,1.78,0.52,1.78,0.48,1.6,1.5,0.02,1.5,0.34,1.5,1.29,0.23,1.29,0.01,2.1,1.9,0.17,1.9,0.85
-1. point,210.62507756675132,104.079,2.0,1.84,0.16,1.84,0.72,0.8,0.75,0.1,0.75,0.38,1.6,1.49,0.1,1.49,0.53,1.3,1.08,0.12,1.08,0.31,1.2,0.97,0.23,0.97,0.71,1.2,1.06,0.02,1.06,0.55,0.9,0.71,0.08,0.71,0.57,0.2,0.07,0.1,0.07,0.01,0.4,0.15,0.04,0.15,0.17,0.6,0.32,0.13,0.32,0.53,0.6,0.63,0.03,0.63,0.01,0.5,-0.24,0.01,-0.24,0.34
-1. point,211.88939237253007,93.027,1.8,1.67,0.03,1.67,0.63,1.9,1.82,0.12,1.82,0.21,2.0,1.97,0.22,1.97,0.08,1.9,1.44,0.0,1.44,1.21,1.4,1.32,0.17,1.32,0.49,1.5,1.26,0.13,1.26,0.72,1.7,1.31,0.07,1.31,0.87,0.8,0.58,0.2,0.58,0.53,0.8,0.75,0.04,0.75,0.13,1.1,0.99,0.04,0.99,0.46,1.4,0.88,0.42,0.88,0.83,1.2,1.23,0.1,1.23,0.03
-1. point,240.47254209160764,91.131,1.4,1.12,0.01,1.12,0.76,1.3,1.32,0.15,1.32,0.22,2.2,2.1,0.21,2.1,0.56,2.3,2.27,0.01,2.27,0.55,1.9,1.87,0.36,1.87,0.27,1.6,1.24,0.18,1.24,0.98,1.6,1.57,0.13,1.57,0.01,1.2,1.12,0.03,1.12,0.44,1.6,1.62,0.32,1.62,0.04,1.3,1.26,0.26,1.26,0.11,1.5,1.3,0.19,1.3,0.39,1.3,1.05,0.09,1.05,0.01
-1. point,199.44042945200454,92.865,1.4,1.2,0.09,1.2,0.46,0.8,0.75,0.03,0.75,0.05,1.2,1.15,0.09,1.15,0.04,1.0,0.89,0.0,0.89,0.43,1.0,0.68,0.02,0.68,0.65,0.7,0.36,0.05,0.36,0.6,1.4,1.0,0.07,1.0,0.82,0.6,0.15,0.19,0.15,0.52,0.8,-0.17,0.09,-0.17,0.79,0.5,0.12,0.03,0.12,0.47,0.6,0.12,0.13,0.12,0.57,0.4,-0.25,0.08,-0.25,0.35
-1. point,221.74693797209466,93.132,0.6,0.37,0.15,0.37,0.44,0.2,0.16,0.01,0.16,0.12,0.9,0.82,0.13,0.82,0.25,0.5,0.55,0.16,0.55,0.06,0.5,0.44,0.06,0.44,0.19,0.4,0.23,0.11,0.23,0.26,0.6,0.48,0.12,0.48,0.24,0.6,0.03,0.0,0.03,0.61,1.0,0.91,0.0,0.91,0.3,0.4,0.28,0.11,0.28,0.17,1.3,1.05,0.02,1.05,0.81,1.1,0.35,0.08,0.35,0.79
-1. point,228.21668322013622,78.549,2.2,2.06,0.04,2.06,0.71,2.0,1.93,0.38,1.93,0.57,2.0,1.82,0.05,1.82,0.69,2.1,2.04,0.21,2.04,0.33,1.6,1.54,0.18,1.54,0.27,1.3,0.97,0.03,0.97,0.74,2.7,2.65,0.08,2.65,0.59,2.1,2.03,0.2,2.03,0.48,2.8,2.74,0.09,2.74,0.23,2.0,1.9,0.18,1.9,0.58,3.0,2.75,0.2,2.75,1.17,2.3,2.26,0.32,2.26,0.0
-1. point,197.485720496445,92.877,2.3,2.21,0.13,2.21,0.58,1.3,1.32,0.14,1.32,0.01,1.4,1.43,0.08,1.43,0.06,1.2,1.03,0.19,1.03,0.57,1.4,1.37,0.13,1.37,0.03,2.0,1.58,0.29,1.58,1.27,1.1,0.87,0.13,0.87,0.02,1.1,1.01,0.16,1.01,0.49,1.3,0.54,0.11,0.54,1.09,1.2,0.91,0.01,0.91,0.74,1.3,1.05,0.14,1.05,0.61,0.7,0.21,0.17,0.21,0.4
-1. point,194.9921742019407,81.57,2.2,2.16,0.18,2.16,0.58,1.7,1.62,0.14,1.62,0.28,1.8,1.8,0.03,1.8,0.25,1.8,1.8,0.06,1.8,0.12,1.2,1.22,0.1,1.22,0.05,2.2,1.65,0.08,1.65,1.5,1.7,1.66,0.16,1.66,0.27,2.3,1.99,0.03,1.99,1.03,2.1,2.04,0.05,2.04,0.24,1.7,1.59,0.01,1.59,0.7,2.2,1.85,0.09,1.85,0.92,1.8,1.63,0.19,1.63,0.66
-1. point,226.97186499652332,94.98,1.0,0.12,0.02,0.12,1.03,0.7,0.33,0.13,0.33,0.53,0.7,0.01,0.03,0.01,0.71,1.4,1.21,0.38,1.21,0.67,1.3,0.26,0.18,0.26,1.2,0.7,-0.27,0.19,-0.27,0.5,1.6,0.0,0.03,0.0,1.55,0.8,-0.16,0.14,-0.16,0.76,0.6,-0.24,0.11,-0.24,0.32,0.6,-0.51,0.01,-0.51,0.3,0.3,-0.17,0.06,-0.17,0.27,0.5,0.25,0.03,0.25,0.37
-1. point,207.53052835667336,102.548,1.5,0.51,0.23,0.51,1.39,1.2,0.48,0.07,0.48,1.1,0.6,0.51,0.26,0.51,0.25,2.6,-1.03,0.68,-1.03,2.38,0.8,0.27,0.1,0.27,0.75,0.8,-0.69,0.04,-0.69,0.41,1.7,-0.39,0.13,-0.39,1.68,2.6,1.07,0.09,1.07,2.36,0.5,0.19,0.16,0.19,0.13,0.6,0.39,0.1,0.39,0.32,0.9,-0.71,0.16,-0.71,0.39,1.0,-0.87,0.06,-0.87,0.56
-1. point,202.20551550341054,101.584,1.2,0.35,0.22,0.35,1.14,0.4,-0.33,0.01,-0.33,0.16,0.9,0.44,0.11,0.44,0.81,1.6,0.14,0.36,0.14,1.63,3.2,-0.59,1.56,-0.59,3.1,1.2,-0.56,0.39,-0.56,1.03,1.8,0.17,0.17,0.17,1.8,1.0,0.25,0.19,0.25,0.84,1.5,-0.49,0.09,-0.49,1.42,0.8,-0.65,0.05,-0.65,0.43,0.9,0.46,0.01,0.46,0.65,0.6,-0.61,0.17,-0.61,0.09
-1. point,198.22699765672687,95.05,1.1,0.06,0.39,0.06,0.91,0.7,-0.2,0.14,-0.2,0.5,1.1,-0.47,0.02,-0.47,0.94,1.1,-0.26,0.64,-0.26,1.05,1.0,0.2,0.11,0.2,0.67,2.3,-1.06,0.07,-1.06,1.98,1.2,-0.65,0.37,-0.65,0.72,1.0,0.21,0.39,0.21,0.99,1.6,-0.02,0.09,-0.02,1.51,1.4,0.13,0.18,0.13,1.34,0.5,0.21,0.11,0.21,0.4,1.0,-0.96,0.23,-0.96,0.23
-1. point,212.77754275298884,94.738,0.8,0.31,0.24,0.31,0.67,2.4,1.91,0.13,1.91,1.15,0.8,0.61,0.27,0.61,0.51,1.8,0.41,0.13,0.41,1.69,1.0,0.59,0.24,0.59,0.76,1.0,-0.68,0.31,-0.68,0.74,3.2,0.1,0.3,0.1,3.17,1.9,-0.6,0.11,-0.6,1.66,0.8,-0.76,0.02,-0.76,0.15,2.4,-1.52,0.06,-1.52,1.81,0.8,-0.23,0.09,-0.23,0.77,1.6,-1.06,0.06,-1.06,1.04
-1. point,188.19160980235011,102.864,1.2,0.31,0.01,0.31,1.17,0.3,0.25,0.01,0.25,0.05,0.6,0.35,0.06,0.35,0.39,0.7,-0.03,0.33,-0.03,0.69,0.7,-0.11,0.77,-0.11,0.6,1.7,-0.55,0.07,-0.55,1.51,1.5,0.31,0.07,0.31,1.45,0.6,-0.49,0.08,-0.49,0.24,0.7,0.44,0.06,0.44,0.38,0.8,-0.37,0.19,-0.37,0.74,0.3,-0.28,0.12,-0.28,0.08,1.3,0.83,0.19,0.83,0.8
-1. point,220.59274557428222,96.788,1.3,0.39,0.29,0.39,1.23,0.6,0.09,0.28,0.09,0.53,0.8,-0.2,0.15,-0.2,0.77,1.0,0.43,0.35,0.43,0.9,1.0,-0.07,0.07,-0.07,0.91,0.5,-0.43,0.03,-0.43,0.14,2.2,0.42,0.27,0.42,2.16,1.1,-0.2,0.29,-0.2,0.91,1.3,-0.16,0.2,-0.16,1.11,1.0,-0.87,0.01,-0.87,0.4,0.6,-0.45,0.08,-0.45,0.43,0.4,-0.34,0.12,-0.34,0.17
-1. point,210.27236004762966,105.824,0.8,0.18,0.04,0.18,0.74,0.7,-0.56,0.05,-0.56,0.24,0.8,-0.01,0.03,-0.01,0.75,1.0,-0.05,0.01,-0.05,1.0,1.1,0.33,0.04,0.33,1.0,0.6,-0.62,0.16,-0.62,0.15,1.0,0.01,0.1,0.01,0.93,0.8,-0.67,0.11,-0.67,0.49,1.5,-1.2,0.05,-1.2,0.75,1.3,-0.92,0.02,-0.92,0.89,0.8,-0.46,0.05,-0.46,0.59,0.9,0.1,0.13,0.1,0.8
-1. point,204.19324450137913,100.096,1.2,0.2,0.03,0.2,1.07,0.6,0.4,0.05,0.4,0.44,0.6,-0.16,0.01,-0.16,0.56,0.6,0.06,0.06,0.06,0.37,1.6,1.27,0.07,1.27,0.91,0.7,-0.28,0.1,-0.28,0.49,1.1,-0.39,0.29,-0.39,0.96,0.5,-0.41,0.63,-0.41,0.35,0.3,-0.32,0.03,-0.32,0.05,1.7,-1.39,0.06,-1.39,0.91,0.4,-0.4,0.53,-0.4,0.16,0.6,-0.59,0.25,-0.59,0.03
-1. point,193.31100589464637,95.71,1.7,0.31,0.01,0.31,1.62,0.3,0.2,0.02,0.2,0.19,1.0,0.17,0.0,0.17,0.93,1.4,0.23,0.13,0.23,1.33,1.8,-0.45,0.09,-0.45,1.76,1.6,-0.87,0.06,-0.87,1.27,1.8,0.07,0.04,0.07,1.72,2.8,-1.83,0.11,-1.83,1.97,1.2,-0.94,0.08,-0.94,0.27,1.3,0.17,0.35,0.17,0.51,0.5,0.1,0.18,0.1,0.33,1.8,-1.75,0.5,-1.75,0.47
-1. point,216.20629731809385,109.112,1.1,0.11,0.03,0.11,1.06,0.4,-0.22,0.01,-0.22,0.36,0.6,0.1,0.04,0.1,0.58,0.7,0.3,0.11,0.3,0.65,0.9,0.09,0.13,0.09,0.79,1.0,0.04,0.19,0.04,0.87,0.9,-0.1,0.14,-0.1,0.89,1.0,-0.5,0.05,-0.5,0.74,0.6,0.08,0.01,0.08,0.54,0.4,-0.08,0.0,-0.08,0.3,0.4,-0.25,0.04,-0.25,0.32,0.4,0.14,0.1,0.14,0.4
-1. point,210.83144784400642,91.844,1.9,0.16,0.29,0.16,1.9,0.7,0.38,0.06,0.38,0.47,0.9,0.3,0.07,0.3,0.76,1.1,-0.74,0.35,-0.74,0.86,1.0,0.46,0.37,0.46,0.88,1.7,0.35,0.36,0.35,1.6,1.4,-0.33,0.04,-0.33,1.35,1.0,-0.32,0.12,-0.32,0.84,0.7,-0.51,0.05,-0.51,0.27,1.1,-1.04,0.13,-1.04,0.4,0.8,-0.44,0.03,-0.44,0.71,1.9,1.86,0.65,1.86,0.52
-1. point,204.88672406966734,96.143,1.8,0.26,0.27,0.26,1.75,0.3,-0.08,0.19,-0.08,0.32,1.1,0.07,0.18,0.07,1.03,1.7,0.36,0.15,0.36,1.66,0.7,0.5,0.06,0.5,0.43,0.4,-0.42,0.17,-0.42,0.09,2.4,0.31,0.08,0.31,2.36,2.2,-0.74,0.32,-0.74,1.82,1.2,-1.07,0.11,-1.07,0.21,1.2,-0.96,0.31,-0.96,0.65,0.3,-0.25,0.0,-0.25,0.13,0.7,-0.65,0.05,-0.65,0.17
-1. point,215.6272754082841,106.875,1.0,-0.21,0.0,-0.21,0.96,0.6,-0.57,0.11,-0.57,0.23,0.8,0.24,0.02,0.24,0.76,1.1,-0.28,0.13,-0.28,1.07,1.2,0.13,0.22,0.13,1.16,1.8,-1.64,0.13,-1.64,0.85,3.0,-0.9,0.23,-0.9,2.81,1.9,-1.4,0.13,-1.4,1.23,2.8,-2.69,0.16,-2.69,0.59,2.9,-2.72,0.16,-2.72,0.96,0.4,0.17,0.01,0.17,0.31,1.6,-1.4,0.32,-1.4,0.71
-1. point,223.17413537415126,102.15,0.9,-0.47,0.06,-0.47,0.68,1.3,-1.03,0.18,-1.03,0.65,0.5,-0.11,0.04,-0.11,0.41,1.1,-0.57,0.19,-0.57,0.89,1.1,0.54,0.35,0.54,1.0,1.2,-0.05,0.02,-0.05,1.17,1.7,0.01,0.12,0.01,1.53,2.0,-0.99,0.15,-0.99,1.69,1.1,-1.08,0.22,-1.08,0.03,1.2,-1.12,0.22,-1.12,0.53,0.8,-0.44,0.01,-0.44,0.68,0.8,-0.68,0.34,-0.68,0.4
-1. point,217.35623869583313,95.075,1.4,-0.1,0.05,-0.1,1.35,0.5,-0.34,0.13,-0.34,0.28,1.0,-0.32,0.1,-0.32,0.93,1.9,-1.71,0.43,-1.71,0.81,1.6,-0.88,0.24,-0.88,1.29,0.9,-0.89,0.23,-0.89,0.11,1.6,-0.82,0.07,-0.82,1.16,2.2,-2.06,0.14,-2.06,0.65,1.3,-0.63,0.03,-0.63,1.09,1.9,-1.84,0.19,-1.84,0.4,0.6,-0.41,0.04,-0.41,0.4,1.9,-1.47,0.04,-1.47,1.0
-1. point,204.64769434322977,95.793,1.1,-0.22,0.07,-0.22,1.08,0.6,-0.41,0.19,-0.41,0.42,1.0,0.31,0.04,0.31,0.87,1.2,-0.24,0.49,-0.24,1.15,1.2,0.0,0.07,0.0,0.93,0.6,-0.28,0.4,-0.28,0.48,1.4,0.0,0.07,0.0,1.29,1.7,-0.24,0.21,-0.24,1.66,1.3,-0.95,0.17,-0.95,0.75,1.1,-0.25,0.2,-0.25,1.08,0.7,-0.28,0.02,-0.28,0.66,1.3,-1.23,0.26,-1.23,0.06
-1. point,204.79185213284245,89.968,1.1,0.09,0.05,0.09,1.02,0.8,-0.6,0.08,-0.6,0.53,0.8,-0.04,0.07,-0.04,0.69,2.1,-0.56,0.29,-0.56,1.95,1.3,0.64,0.14,0.64,1.12,1.0,-0.73,0.43,-0.73,0.23,2.0,-0.33,0.46,-0.33,1.93,1.6,-0.76,0.1,-0.76,1.38,1.7,-1.66,0.23,-1.66,0.38,1.1,-0.84,0.3,-0.84,0.67,1.0,-0.47,0.1,-0.47,0.9,0.4,-0.12,0.11,-0.12,0.43
-1. point,208.2015312143501,102.325,1.3,-0.28,0.01,-0.28,1.26,0.7,-0.61,0.02,-0.61,0.17,0.9,0.09,0.06,0.09,0.88,0.4,-0.04,0.17,-0.04,0.37,0.8,0.12,0.3,0.12,0.73,1.3,-0.99,0.1,-0.99,0.75,1.3,-0.85,0.07,-0.85,0.55,2.4,-0.39,0.56,-0.39,2.28,0.9,0.05,0.23,0.05,0.93,0.9,-0.73,0.01,-0.73,0.38,0.6,-0.04,0.01,-0.04,0.55,1.3,-0.94,0.23,-0.94,0.78
-1. point,212.25158421081335,87.52,0.4,-0.21,0.01,-0.21,0.3,0.4,-0.23,0.12,-0.23,0.37,0.6,-0.1,0.01,-0.1,0.58,1.8,-0.86,0.03,-0.86,1.6,1.1,-0.52,0.22,-0.52,0.97,0.9,-0.91,0.32,-0.91,0.04,1.1,-1.01,0.27,-1.01,0.21,2.3,-2.2,0.75,-2.2,0.49,1.2,-1.08,0.28,-1.08,0.5,1.8,-1.71,0.07,-1.71,0.24,0.4,-0.33,0.1,-0.33,0.13,1.6,-1.27,0.14,-1.27,0.76
-1. point,219.77254878623944,92.595,1.1,0.03,0.07,0.03,1.01,0.5,0.33,0.09,0.33,0.22,1.1,0.22,0.03,0.22,1.04,1.9,0.6,0.73,0.6,1.47,1.1,0.12,0.13,0.12,1.0,0.3,-0.1,0.39,-0.1,0.12,2.5,-0.96,0.51,-0.96,2.3,1.7,-0.01,0.06,-0.01,1.63,1.1,-0.93,0.17,-0.93,0.49,0.8,-0.75,0.3,-0.75,0.3,0.5,-0.39,0.02,-0.39,0.25,2.9,-2.53,0.09,-2.53,1.45
-1. point,207.13924060882331,105.611,0.8,-0.23,0.03,-0.23,0.8,0.8,-0.42,0.3,-0.42,0.59,0.8,0.05,0.04,0.05,0.76,1.6,-0.67,0.09,-0.67,1.42,1.5,-0.97,0.03,-0.97,1.02,0.4,0.05,0.83,0.05,0.41,1.6,-0.9,0.1,-0.9,1.33,1.2,-1.14,0.1,-1.14,0.22,1.7,-1.43,0.12,-1.43,0.74,1.5,-1.44,0.16,-1.44,0.16,0.8,-0.27,0.02,-0.27,0.71,1.9,-1.58,0.27,-1.58,0.89
