dict_id,length,Speed hor. [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
65. point,193.23749144511268,93.409,1.0,-0.42,0.07,-0.42,0.9,1.2,-1.06,0.01,-1.06,0.03,1.2,0.63,0.13,0.63,1.02,1.3,-0.29,0.06,-0.29,1.24,1.0,-0.13,0.18,-0.13,0.94,0.7,-0.59,0.19,-0.59,0.1,2.4,-0.14,0.4,-0.14,2.2,0.8,-0.17,0.11,-0.17,0.74,1.5,-0.92,0.07,-0.92,1.07,1.3,-1.17,0.15,-1.17,0.6,0.7,0.18,0.01,0.18,0.62,1.2,-0.99,0.03,-0.99,0.47
65. point,188.63729959899234,94.367,0.8,0.69,0.04,0.69,0.42,0.3,0.06,0.1,0.06,0.17,0.5,0.12,0.05,0.12,0.24,0.5,0.39,0.03,0.39,0.17,0.4,-0.24,0.03,-0.24,0.27,0.7,0.63,0.12,0.63,0.03,0.5,-0.39,0.1,-0.39,0.21,0.8,0.79,0.01,0.79,0.17,0.7,0.57,0.2,0.57,0.28,0.3,0.34,0.03,0.34,0.05,0.7,0.29,0.27,0.29,0.31,0.6,-0.06,0.15,-0.06,0.46
65. point,183.82165215229676,83.05,1.0,1.0,0.02,1.0,0.04,0.6,0.55,0.1,0.55,0.19,0.3,0.26,0.14,0.26,0.04,0.6,0.53,0.2,0.53,0.16,0.6,0.55,0.04,0.55,0.15,0.8,0.78,0.33,0.78,0.02,0.8,0.24,0.1,0.24,0.52,1.0,0.78,0.14,0.78,0.63,0.5,0.47,0.09,0.47,0.24,0.3,-0.17,0.0,-0.17,0.17,1.0,0.61,0.12,0.61,0.7,1.4,-0.26,0.22,-0.26,0.96
65. point,179.474739448202,94.154,1.4,1.37,0.17,1.37,0.05,1.3,1.27,0.11,1.27,0.05,1.2,1.13,0.02,1.13,0.0,1.7,1.65,0.01,1.65,0.0,1.2,0.47,0.19,0.47,1.06,0.5,0.36,0.18,0.36,0.35,0.3,0.03,0.09,0.03,0.17,0.2,0.07,0.06,0.07,0.01,0.4,0.3,0.16,0.3,0.3,0.6,-0.17,0.07,-0.17,0.51,0.3,-0.23,0.08,-0.23,0.09,0.2,-0.11,0.26,-0.11,0.1
65. point,179.88638358697415,101.174,1.2,1.22,0.05,1.22,0.07,1.0,0.82,0.06,0.82,0.16,0.8,0.78,0.02,0.78,0.24,0.9,0.83,0.09,0.83,0.11,0.3,0.24,0.12,0.24,0.12,0.7,0.64,0.13,0.64,0.14,0.4,0.39,0.07,0.39,0.04,0.7,0.52,0.02,0.52,0.4,0.9,0.4,0.13,0.4,0.4,0.6,0.55,0.01,0.55,0.01,0.4,-0.18,0.19,-0.18,0.3,1.0,0.96,0.05,0.96,0.34
65. point,186.20930723247966,94.882,0.3,-0.31,0.08,-0.31,0.06,0.8,0.41,0.13,0.41,0.39,1.1,1.01,0.08,1.01,0.3,0.7,0.56,0.04,0.56,0.13,0.5,-0.08,0.06,-0.08,0.5,0.5,0.12,0.06,0.12,0.13,1.1,0.33,0.33,0.33,0.29,0.8,0.71,0.07,0.71,0.08,0.5,0.04,0.02,0.04,0.48,0.4,-0.17,0.2,-0.17,0.19,1.1,-0.88,0.25,-0.88,0.07,0.1,0.0,0.04,0.0,0.06
65. point,194.16780732139918,92.169,1.9,1.86,0.36,1.86,0.46,0.9,0.63,0.06,0.63,0.53,2.4,2.35,0.1,2.35,0.48,1.2,1.08,0.1,1.08,0.32,1.6,1.53,0.31,1.53,0.0,0.9,0.86,0.29,0.86,0.3,1.8,1.6,0.3,1.6,0.7,1.3,1.21,0.03,1.21,0.39,2.3,2.02,0.4,2.02,0.96,0.4,0.07,0.15,0.07,0.36,1.9,1.36,0.03,1.36,1.34,1.3,1.27,0.13,1.27,0.33
65. point,224.37627548383986,93.481,1.6,1.48,0.03,1.48,0.47,0.9,0.68,0.01,0.68,0.61,1.6,1.62,0.19,1.62,0.29,1.1,0.89,0.04,0.89,0.51,1.5,1.34,0.45,1.34,0.66,2.2,2.2,0.76,2.2,0.1,2.9,2.82,0.22,2.82,0.13,1.9,1.88,0.11,1.88,0.36,2.6,2.56,0.0,2.56,0.43,1.2,0.96,0.3,0.96,0.58,1.8,1.5,0.17,1.5,0.26,1.8,1.63,0.07,1.63,0.68
65. point,210.62507756675132,94.205,2.4,2.25,0.23,2.25,0.72,1.0,0.92,0.03,0.92,0.38,1.9,1.78,0.12,1.78,0.52,1.6,1.52,0.29,1.52,0.01,1.2,1.14,0.23,1.14,0.47,1.3,1.16,0.01,1.16,0.62,0.8,0.62,0.15,0.62,0.54,0.5,0.19,0.08,0.19,0.17,0.5,0.34,0.31,0.34,0.27,0.4,-0.04,0.3,-0.04,0.35,0.9,0.85,0.22,0.85,0.02,0.5,-0.35,0.15,-0.35,0.42
65. point,211.88939237253007,88.765,1.9,1.86,0.12,1.86,0.51,1.8,1.77,0.03,1.77,0.19,2.4,2.4,0.03,2.4,0.39,2.1,1.68,0.08,1.68,1.25,1.3,1.24,0.15,1.24,0.17,1.8,1.23,0.05,1.23,1.25,1.4,1.39,0.22,1.39,0.24,1.1,0.98,0.15,0.98,0.45,0.8,0.76,0.03,0.76,0.06,1.5,1.35,0.36,1.35,0.59,2.2,1.69,0.46,1.69,1.07,1.2,0.88,0.06,0.88,0.11
65. point,240.47254209160764,92.938,1.3,1.06,0.2,1.06,0.46,1.3,1.26,0.09,1.26,0.17,1.5,1.41,0.18,1.41,0.55,2.5,2.51,0.06,2.51,0.22,1.4,1.43,0.24,1.43,0.08,1.5,1.28,0.35,1.28,0.77,1.9,1.85,0.12,1.85,0.44,1.2,0.79,0.26,0.79,0.83,2.3,2.26,0.03,2.26,0.35,1.2,1.06,0.17,1.06,0.35,1.8,1.71,0.17,1.71,0.58,0.9,0.78,0.04,0.78,0.48
65. point,199.44042945200454,94.229,1.4,1.35,0.01,1.35,0.35,0.8,0.74,0.02,0.74,0.16,1.3,1.16,0.14,1.16,0.28,1.0,0.86,0.1,0.86,0.52,0.8,0.66,0.09,0.66,0.36,0.8,0.15,0.11,0.15,0.77,1.2,0.86,0.12,0.86,0.69,0.9,0.16,0.2,0.16,0.83,0.9,0.15,0.01,0.15,0.9,0.6,-0.1,0.02,-0.1,0.6,0.5,-0.1,0.01,-0.1,0.29,0.6,-0.17,0.04,-0.17,0.5
65. point,221.74693797209466,91.511,0.7,0.35,0.12,0.35,0.6,0.3,0.2,0.02,0.2,0.19,1.0,1.02,0.06,1.02,0.2,0.3,0.29,0.14,0.29,0.11,0.5,0.5,0.14,0.5,0.02,0.3,0.11,0.22,0.11,0.2,1.0,0.96,0.02,0.96,0.13,0.7,0.42,0.09,0.42,0.34,0.8,0.57,0.04,0.57,0.36,0.2,-0.21,0.02,-0.21,0.13,0.9,0.81,0.18,0.81,0.45,0.9,-0.85,0.03,-0.85,0.1
