dict_id,length,Speed hor. [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
65. point,196.2939583889428,97.643,0.6,0.23,0.07,0.23,0.55,1.4,1.4,0.16,1.4,0.23,1.9,1.61,0.13,1.61,0.9,1.8,1.31,0.07,1.31,1.16,1.9,0.95,0.16,0.95,1.53,1.4,0.91,0.34,0.91,1.09,1.0,-0.54,0.19,-0.54,0.75,1.5,-0.21,0.14,-0.21,1.51,1.9,-1.79,0.08,-1.79,0.54,1.7,-1.55,0.01,-1.55,0.46,0.9,0.04,0.33,0.04,0.88,1.8,-1.5,0.07,-1.5,0.93
65. point,210.1301896444202,94.858,1.1,0.27,0.02,0.27,1.04,0.8,0.69,0.13,0.69,0.48,1.5,1.2,0.16,1.2,0.61,2.0,1.89,0.4,1.89,0.69,2.2,1.59,0.21,1.59,1.43,2.7,0.81,0.14,0.81,2.6,2.2,0.28,0.1,0.28,2.16,1.4,-0.41,0.42,-0.41,1.23,1.9,-0.21,0.05,-0.21,1.92,1.1,-0.86,0.24,-0.86,0.65,0.7,0.52,0.08,0.52,0.41,1.0,-0.78,0.03,-0.78,0.59
65. point,191.08984405247705,94.161,0.8,0.67,0.09,0.67,0.33,0.6,-0.22,0.13,-0.22,0.56,0.1,0.04,0.1,0.04,0.09,0.6,-0.42,0.04,-0.42,0.36,0.7,-0.49,0.01,-0.49,0.41,0.8,-0.66,0.01,-0.66,0.41,0.6,0.39,0.07,0.39,0.06,0.6,-0.54,0.05,-0.54,0.32,0.7,-0.29,0.14,-0.29,0.6,1.4,-1.34,0.21,-1.34,0.15,0.5,0.42,0.12,0.42,0.32,1.6,-1.58,0.14,-1.58,0.07
65. point,185.18171913015607,94.358,0.8,-0.09,0.06,-0.09,0.65,0.9,-0.79,0.03,-0.79,0.35,0.6,-0.47,0.06,-0.47,0.2,1.3,0.98,0.32,0.98,0.32,1.9,1.47,0.87,1.47,1.07,1.3,-0.86,0.78,-0.86,0.95,1.6,0.73,0.09,0.73,1.41,2.1,-1.35,0.24,-1.35,1.56,2.0,-1.69,0.25,-1.69,1.03,2.2,-1.99,0.35,-1.99,1.03,1.2,-1.07,0.07,-1.07,0.32,0.5,0.36,0.06,0.36,0.04
65. point,171.8737126497243,93.938,1.1,-0.98,0.1,-0.98,0.41,1.9,-1.48,0.04,-1.48,1.21,0.9,-0.13,0.03,-0.13,0.85,1.3,-1.11,0.4,-1.11,0.01,1.0,-0.22,0.1,-0.22,0.94,1.4,-1.23,0.63,-1.23,0.1,1.7,0.27,0.15,0.27,1.6,1.4,-0.2,0.41,-0.2,1.33,1.3,0.54,0.13,0.54,1.07,0.1,0.03,0.1,0.03,0.07,1.0,0.93,0.15,0.93,0.06,1.4,-1.2,0.1,-1.2,0.51
65. point,209.02252964692585,94.19,0.8,0.57,0.0,0.57,0.44,2.1,1.75,0.0,1.75,1.06,1.2,0.7,0.08,0.7,1.0,1.5,-0.61,0.09,-0.61,1.08,1.1,0.3,0.12,0.3,1.01,0.8,-0.67,0.21,-0.67,0.35,1.4,-0.24,0.11,-0.24,1.4,1.0,0.73,0.18,0.73,0.45,1.1,0.12,0.02,0.12,1.07,1.3,-1.16,0.14,-1.16,0.3,0.3,0.08,0.12,0.08,0.32,1.9,-0.25,0.19,-0.25,1.59
65. point,186.48818166307484,94.955,0.3,-0.14,0.03,-0.14,0.26,0.6,-0.48,0.08,-0.48,0.4,1.0,0.83,0.06,0.83,0.33,2.1,0.79,0.91,0.79,1.89,0.5,-0.4,0.04,-0.4,0.24,1.4,-0.38,0.1,-0.38,1.21,1.2,0.08,0.21,0.08,0.94,1.1,-0.99,0.15,-0.99,0.35,0.5,0.0,0.15,0.0,0.24,0.6,-0.59,0.2,-0.59,0.19,1.3,-1.21,0.31,-1.21,0.17,0.3,0.1,0.01,0.1,0.15
65. point,181.35469500401692,88.922,1.3,1.31,0.38,1.31,0.17,1.7,1.59,0.07,1.59,0.02,1.3,1.21,0.06,1.21,0.32,1.2,1.12,0.09,1.12,0.3,1.3,1.2,0.18,1.2,0.34,1.2,1.19,0.05,1.19,0.12,0.7,0.54,0.12,0.54,0.36,0.9,0.76,0.17,0.76,0.4,0.7,0.21,0.11,0.21,0.69,0.3,-0.08,0.22,-0.08,0.33,0.4,-0.31,0.41,-0.31,0.05,0.5,0.45,0.11,0.45,0.16
65. point,186.14512026910617,90.29,2.7,2.63,0.17,2.63,0.37,2.5,2.48,0.36,2.48,0.1,2.1,2.04,0.08,2.04,0.16,1.5,1.51,0.14,1.51,0.07,2.0,1.87,0.08,1.87,0.54,1.9,1.48,0.01,1.48,1.14,2.4,2.3,0.15,2.3,0.79,2.2,1.87,0.22,1.87,0.89,1.5,1.4,0.11,1.4,0.55,1.0,0.98,0.0,0.98,0.03,0.9,0.47,0.01,0.47,0.75,1.3,0.77,0.37,0.77,0.84
65. point,138.3992850415059,89.628,0.3,-0.17,0.0,-0.17,0.22,0.4,0.08,0.13,0.08,0.44,0.3,0.25,0.08,0.25,0.2,0.5,-0.13,0.1,-0.13,0.07,1.0,0.11,0.13,0.11,0.82,0.7,0.63,0.1,0.63,0.01,1.6,1.23,0.2,1.23,0.79,0.5,0.36,0.2,0.36,0.1,0.7,0.23,0.35,0.23,0.57,0.5,0.45,0.22,0.45,0.05,1.0,-0.84,0.03,-0.84,0.03,0.2,0.17,0.11,0.17,0.1
