Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross,W1_Speed_quad,W2_Speed_quad,W3_Speed_quad,W4_Speed_quad,W5_Speed_quad,W6_Speed_quad,W7_Speed_quad,W8_Speed_quad,W9_Speed_quad,W10_Speed_quad,W11_Speed_quad,W12_Speed_quad,W1_Tangent_quad,W2_Tangent_quad,W3_Tangent_quad,W4_Tangent_quad,W5_Tangent_quad,W6_Tangent_quad,W7_Tangent_quad,W8_Tangent_quad,W9_Tangent_quad,W10_Tangent_quad,W11_Tangent_quad,W12_Tangent_quad,W1_Cross_quad,W2_Cross_quad,W3_Cross_quad,W4_Cross_quad,W5_Cross_quad,W6_Cross_quad,W7_Cross_quad,W8_Cross_quad,W9_Cross_quad,W10_Cross_quad,W11_Cross_quad,W12_Cross_quad,W1_Turbulence_quad,W2_Turbulence_quad,W3_Turbulence_quad,W4_Turbulence_quad,W5_Turbulence_quad,W6_Turbulence_quad,W7_Turbulence_quad,W8_Turbulence_quad,W9_Turbulence_quad,W10_Turbulence_quad,W11_Turbulence_quad,W12_Turbulence_quad
0.0,2.93,4.152,0.06,0.0,-0.01,0.0,-11.5,-11.5,0.0,0.0,0.0,0.0,94.386,-19.203,96.319,2.1,1.86,0.09,1.86,0.8,1.9,1.86,0.16,1.86,0.01,2.2,2.12,0.18,2.12,0.19,2.4,2.36,0.22,2.36,0.03,1.9,1.92,0.32,1.92,0.26,1.9,1.55,0.13,1.55,1.13,2.1,1.45,0.27,1.45,1.23,0.9,0.83,0.31,0.83,0.05,1.2,1.0,0.13,1.0,0.11,0.9,0.47,0.09,0.47,0.68,1.2,1.14,0.27,1.14,0.15,1.2,0.87,0.43,0.87,0.63,4.41,3.61,4.840000000000001,5.76,3.61,3.61,4.41,0.81,1.44,0.81,1.44,1.44,3.4596000000000005,3.4596000000000005,4.494400000000001,5.569599999999999,3.6864,2.4025000000000003,2.1025,0.6889,1.0,0.22089999999999999,1.2995999999999999,0.7569,0.6400000000000001,0.0001,0.0361,0.0009,0.06760000000000001,1.2768999999999997,1.5129,0.0025000000000000005,0.0121,0.4624000000000001,0.0225,0.39690000000000003,0.0081,0.0256,0.0324,0.0484,0.1024,0.016900000000000002,0.0729,0.0961,0.016900000000000002,0.0081,0.0729,0.18489999999999998
1.0,2.92,4.345,1.34,-0.0,-0.16,3.5,-8.397,-8.968,-4.431,3.457,1.995,-1.589,93.194,-9.078,93.636,2.2,1.9,0.01,1.9,0.79,1.9,1.86,0.16,1.86,0.01,2.2,2.14,0.18,2.14,0.17,2.4,2.33,0.2,2.33,0.19,1.9,1.92,0.32,1.92,0.26,1.9,1.52,0.11,1.52,1.17,2.0,1.44,0.24,1.44,1.24,0.9,0.83,0.31,0.83,0.05,1.2,1.0,0.13,1.0,0.11,0.9,0.48,0.06,0.48,0.71,1.2,1.14,0.27,1.14,0.15,1.2,0.87,0.43,0.87,0.63,4.840000000000001,3.61,4.840000000000001,5.76,3.61,3.61,4.0,0.81,1.44,0.81,1.44,1.44,3.61,3.4596000000000005,4.5796,5.4289000000000005,3.6864,2.3104,2.0736,0.6889,1.0,0.2304,1.2995999999999999,0.7569,0.6241000000000001,0.0001,0.028900000000000006,0.0361,0.06760000000000001,1.3688999999999998,1.5376,0.0025000000000000005,0.0121,0.5041,0.0225,0.39690000000000003,0.0001,0.0256,0.0324,0.04000000000000001,0.1024,0.0121,0.0576,0.0961,0.016900000000000002,0.0036,0.0729,0.18489999999999998
2.0,2.96,4.389,2.39,-0.02,-0.27,6.5,-4.169,-7.09,-4.663,2.305,3.472,-3.085,95.467,-9.339,95.932,2.2,1.9,0.01,1.9,0.79,1.9,1.86,0.16,1.86,0.01,2.2,2.14,0.18,2.14,0.17,2.4,2.33,0.2,2.33,0.19,1.9,1.92,0.32,1.92,0.26,1.9,1.52,0.11,1.52,1.17,2.0,1.44,0.24,1.44,1.24,0.9,0.83,0.31,0.83,0.05,1.2,1.0,0.13,1.0,0.11,0.9,0.48,0.06,0.48,0.71,1.2,1.14,0.27,1.14,0.15,1.2,0.87,0.43,0.87,0.63,4.840000000000001,3.61,4.840000000000001,5.76,3.61,3.61,4.0,0.81,1.44,0.81,1.44,1.44,3.61,3.4596000000000005,4.5796,5.4289000000000005,3.6864,2.3104,2.0736,0.6889,1.0,0.2304,1.2995999999999999,0.7569,0.6241000000000001,0.0001,0.028900000000000006,0.0361,0.06760000000000001,1.3688999999999998,1.5376,0.0025000000000000005,0.0121,0.5041,0.0225,0.39690000000000003,0.0001,0.0256,0.0324,0.04000000000000001,0.1024,0.0121,0.0576,0.0961,0.016900000000000002,0.0036,0.0729,0.18489999999999998
3.0,3.01,4.427,3.43,-0.05,-0.38,8.9,0.99,-3.126,-5.684,0.122,5.308,-5.024,95.776,-11.282,96.452,2.2,1.9,0.01,1.9,0.79,1.9,1.86,0.16,1.86,0.01,2.2,2.14,0.18,2.14,0.17,2.4,2.33,0.2,2.33,0.19,1.9,1.92,0.32,1.92,0.26,1.9,1.52,0.11,1.52,1.17,2.0,1.44,0.24,1.44,1.24,0.9,0.83,0.31,0.83,0.05,1.2,1.0,0.13,1.0,0.11,0.9,0.48,0.06,0.48,0.71,1.2,1.14,0.27,1.14,0.15,1.2,0.87,0.43,0.87,0.63,4.840000000000001,3.61,4.840000000000001,5.76,3.61,3.61,4.0,0.81,1.44,0.81,1.44,1.44,3.61,3.4596000000000005,4.5796,5.4289000000000005,3.6864,2.3104,2.0736,0.6889,1.0,0.2304,1.2995999999999999,0.7569,0.6241000000000001,0.0001,0.028900000000000006,0.0361,0.06760000000000001,1.3688999999999998,1.5376,0.0025000000000000005,0.0121,0.5041,0.0225,0.39690000000000003,0.0001,0.0256,0.0324,0.04000000000000001,0.1024,0.0121,0.0576,0.0961,0.016900000000000002,0.0036,0.0729,0.18489999999999998
4.0,3.07,4.466,4.47,-0.06,-0.5,12.9,6.567,0.933,-7.088,1.042,7.313,-7.372,96.011,-12.791,96.867,2.1,1.87,0.03,1.87,0.74,1.9,1.91,0.09,1.91,0.05,2.1,2.11,0.11,2.11,0.1,2.3,2.14,0.06,2.14,0.54,1.9,1.91,0.29,1.91,0.29,1.9,1.52,0.09,1.52,1.16,2.1,1.54,0.29,1.54,1.34,1.2,1.19,0.08,1.19,0.01,1.3,1.24,0.28,1.24,0.05,0.9,0.5,0.02,0.5,0.71,1.2,1.19,0.29,1.19,0.23,1.2,0.83,0.36,0.83,0.72,4.41,3.61,4.41,5.289999999999999,3.61,3.61,4.41,1.44,1.6900000000000002,0.81,1.44,1.44,3.4969000000000006,3.6481,4.4521,4.5796,3.6481,2.3104,2.3716,1.4161,1.5376,0.25,1.4161,0.6889,0.5476,0.0025000000000000005,0.010000000000000002,0.2916,0.0841,1.3456,1.7956000000000003,0.0001,0.0025000000000000005,0.5041,0.0529,0.5184,0.0009,0.0081,0.0121,0.0036,0.0841,0.0081,0.0841,0.0064,0.07840000000000001,0.0004,0.0841,0.1296
5.0,3.14,4.506,5.51,-0.04,-0.62,19.2,11.668,3.883,-7.414,4.837,9.387,-10.035,96.982,-12.862,97.831,2.1,1.87,0.03,1.87,0.74,1.9,1.91,0.09,1.91,0.05,2.1,2.11,0.11,2.11,0.1,2.3,2.14,0.06,2.14,0.54,1.9,1.91,0.29,1.91,0.29,1.9,1.52,0.09,1.52,1.16,2.1,1.54,0.29,1.54,1.34,1.2,1.19,0.08,1.19,0.01,1.3,1.24,0.28,1.24,0.05,0.9,0.5,0.02,0.5,0.71,1.2,1.19,0.29,1.19,0.23,1.2,0.83,0.36,0.83,0.72,4.41,3.61,4.41,5.289999999999999,3.61,3.61,4.41,1.44,1.6900000000000002,0.81,1.44,1.44,3.4969000000000006,3.6481,4.4521,4.5796,3.6481,2.3104,2.3716,1.4161,1.5376,0.25,1.4161,0.6889,0.5476,0.0025000000000000005,0.010000000000000002,0.2916,0.0841,1.3456,1.7956000000000003,0.0001,0.0025000000000000005,0.5041,0.0529,0.5184,0.0009,0.0081,0.0121,0.0036,0.0841,0.0081,0.0841,0.0064,0.07840000000000001,0.0004,0.0841,0.1296
6.0,3.21,4.544,6.55,-0.04,-0.76,24.0,13.597,6.642,-1.383,-3.087,11.717,-12.638,95.954,-12.775,96.801,2.1,1.87,0.03,1.87,0.74,1.9,1.91,0.09,1.91,0.05,2.1,2.11,0.11,2.11,0.1,2.3,2.14,0.06,2.14,0.54,1.9,1.91,0.29,1.91,0.29,1.9,1.52,0.09,1.52,1.16,2.1,1.54,0.29,1.54,1.34,1.2,1.19,0.08,1.19,0.01,1.3,1.24,0.28,1.24,0.05,0.9,0.5,0.02,0.5,0.71,1.2,1.19,0.29,1.19,0.23,1.2,0.83,0.36,0.83,0.72,4.41,3.61,4.41,5.289999999999999,3.61,3.61,4.41,1.44,1.6900000000000002,0.81,1.44,1.44,3.4969000000000006,3.6481,4.4521,4.5796,3.6481,2.3104,2.3716,1.4161,1.5376,0.25,1.4161,0.6889,0.5476,0.0025000000000000005,0.010000000000000002,0.2916,0.0841,1.3456,1.7956000000000003,0.0001,0.0025000000000000005,0.5041,0.0529,0.5184,0.0009,0.0081,0.0121,0.0036,0.0841,0.0081,0.0841,0.0064,0.07840000000000001,0.0004,0.0841,0.1296
7.0,3.28,4.583,7.58,-0.02,-0.91,26.7,15.094,7.965,0.834,-6.574,14.224,-14.642,96.126,-15.376,97.348,2.1,1.87,0.03,1.87,0.74,1.9,1.91,0.09,1.91,0.05,2.1,2.11,0.11,2.11,0.1,2.3,2.14,0.06,2.14,0.54,1.9,1.91,0.29,1.91,0.29,1.9,1.52,0.09,1.52,1.16,2.1,1.54,0.29,1.54,1.34,1.2,1.19,0.08,1.19,0.01,1.3,1.24,0.28,1.24,0.05,0.9,0.5,0.02,0.5,0.71,1.2,1.19,0.29,1.19,0.23,1.2,0.83,0.36,0.83,0.72,4.41,3.61,4.41,5.289999999999999,3.61,3.61,4.41,1.44,1.6900000000000002,0.81,1.44,1.44,3.4969000000000006,3.6481,4.4521,4.5796,3.6481,2.3104,2.3716,1.4161,1.5376,0.25,1.4161,0.6889,0.5476,0.0025000000000000005,0.010000000000000002,0.2916,0.0841,1.3456,1.7956000000000003,0.0001,0.0025000000000000005,0.5041,0.0529,0.5184,0.0009,0.0081,0.0121,0.0036,0.0841,0.0081,0.0841,0.0064,0.07840000000000001,0.0004,0.0841,0.1296
8.0,3.36,4.623,8.61,0.0,-1.08,29.2,15.526,9.044,4.417,-9.309,16.753,-16.546,95.687,-15.989,97.014,2.1,1.87,0.03,1.87,0.74,1.9,1.91,0.09,1.91,0.05,2.1,2.11,0.11,2.11,0.1,2.3,2.14,0.06,2.14,0.54,1.9,1.91,0.29,1.91,0.29,1.9,1.52,0.09,1.52,1.16,2.1,1.54,0.29,1.54,1.34,1.2,1.19,0.08,1.19,0.01,1.3,1.24,0.28,1.24,0.05,0.9,0.5,0.02,0.5,0.71,1.2,1.19,0.29,1.19,0.23,1.2,0.83,0.36,0.83,0.72,4.41,3.61,4.41,5.289999999999999,3.61,3.61,4.41,1.44,1.6900000000000002,0.81,1.44,1.44,3.4969000000000006,3.6481,4.4521,4.5796,3.6481,2.3104,2.3716,1.4161,1.5376,0.25,1.4161,0.6889,0.5476,0.0025000000000000005,0.010000000000000002,0.2916,0.0841,1.3456,1.7956000000000003,0.0001,0.0025000000000000005,0.5041,0.0529,0.5184,0.0009,0.0081,0.0121,0.0036,0.0841,0.0081,0.0841,0.0064,0.07840000000000001,0.0004,0.0841,0.1296
9.0,3.44,4.661,9.64,-0.02,-1.25,32.4,15.36,10.106,9.706,-12.002,18.944,-18.419,95.029,-15.508,96.287,2.1,1.87,0.03,1.87,0.74,1.9,1.91,0.09,1.91,0.05,2.1,2.11,0.11,2.11,0.1,2.3,2.14,0.06,2.14,0.54,1.9,1.91,0.29,1.91,0.29,1.9,1.52,0.09,1.52,1.16,2.1,1.54,0.29,1.54,1.34,1.2,1.19,0.08,1.19,0.01,1.3,1.24,0.28,1.24,0.05,0.9,0.5,0.02,0.5,0.71,1.2,1.19,0.29,1.19,0.23,1.2,0.83,0.36,0.83,0.72,4.41,3.61,4.41,5.289999999999999,3.61,3.61,4.41,1.44,1.6900000000000002,0.81,1.44,1.44,3.4969000000000006,3.6481,4.4521,4.5796,3.6481,2.3104,2.3716,1.4161,1.5376,0.25,1.4161,0.6889,0.5476,0.0025000000000000005,0.010000000000000002,0.2916,0.0841,1.3456,1.7956000000000003,0.0001,0.0025000000000000005,0.5041,0.0529,0.5184,0.0009,0.0081,0.0121,0.0036,0.0841,0.0081,0.0841,0.0064,0.07840000000000001,0.0004,0.0841,0.1296
