Position,Height above ground [m],Time,X [m],Y [m],Z [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Yaw Angle Left [°],Yaw Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross,W1_Speed_quad,W2_Speed_quad,W3_Speed_quad,W4_Speed_quad,W5_Speed_quad,W6_Speed_quad,W7_Speed_quad,W8_Speed_quad,W9_Speed_quad,W10_Speed_quad,W11_Speed_quad,W12_Speed_quad,W1_Tangent_quad,W2_Tangent_quad,W3_Tangent_quad,W4_Tangent_quad,W5_Tangent_quad,W6_Tangent_quad,W7_Tangent_quad,W8_Tangent_quad,W9_Tangent_quad,W10_Tangent_quad,W11_Tangent_quad,W12_Tangent_quad,W1_Cross_quad,W2_Cross_quad,W3_Cross_quad,W4_Cross_quad,W5_Cross_quad,W6_Cross_quad,W7_Cross_quad,W8_Cross_quad,W9_Cross_quad,W10_Cross_quad,W11_Cross_quad,W12_Cross_quad,W1_Turbulence_quad,W2_Turbulence_quad,W3_Turbulence_quad,W4_Turbulence_quad,W5_Turbulence_quad,W6_Turbulence_quad,W7_Turbulence_quad,W8_Turbulence_quad,W9_Turbulence_quad,W10_Turbulence_quad,W11_Turbulence_quad,W12_Turbulence_quad
0.0,2.93,4.112,0.02,0.0,-0.0,0.0,-11.5,-11.5,0.0,0.0,0.0,0.0,96.751,-19.684,98.734,1.8,1.73,0.11,1.73,0.27,1.2,0.73,0.1,0.73,0.93,1.5,1.44,0.12,1.44,0.3,1.6,0.87,0.1,0.87,1.17,1.0,0.92,0.59,0.92,0.12,2.0,1.02,0.12,1.02,1.34,1.1,0.54,0.05,0.54,0.95,1.4,1.07,0.02,1.07,0.86,0.6,0.4,0.04,0.4,0.07,0.7,0.24,0.06,0.24,0.6,0.9,0.43,0.33,0.43,0.8,0.3,-0.14,0.33,-0.14,0.24,3.24,1.44,2.25,2.5600000000000005,1.0,4.0,1.2100000000000002,1.9599999999999997,0.36,0.48999999999999994,0.81,0.09,2.9929,0.5328999999999999,2.0736,0.7569,0.8464,1.0404,0.2916,1.1449,0.16000000000000003,0.0576,0.18489999999999998,0.019600000000000003,0.0729,0.8649000000000001,0.09,1.3688999999999998,0.0144,1.7956000000000003,0.9025,0.7395999999999999,0.004900000000000001,0.36,0.6400000000000001,0.0576,0.0121,0.010000000000000002,0.0144,0.010000000000000002,0.34809999999999997,0.0144,0.0025000000000000005,0.0004,0.0016,0.0036,0.10890000000000001,0.10890000000000001
1.0,2.91,4.267,1.29,-0.02,-0.18,1.9,-10.08,-9.968,-1.0,2.035,1.552,-0.371,93.953,-14.672,95.095,1.9,1.85,0.21,1.85,0.29,1.2,0.64,0.08,0.64,0.97,1.7,1.7,0.14,1.7,0.16,1.6,0.83,0.04,0.83,1.17,0.9,0.64,0.62,0.64,0.17,2.1,1.01,0.14,1.01,1.41,1.1,0.54,0.05,0.54,0.95,1.4,1.04,0.0,1.04,0.92,0.7,0.5,0.14,0.5,0.15,0.7,0.27,0.05,0.27,0.59,0.9,0.44,0.28,0.44,0.76,0.2,-0.08,0.34,-0.08,0.23,3.61,1.44,2.8899999999999997,2.5600000000000005,0.81,4.41,1.2100000000000002,1.9599999999999997,0.48999999999999994,0.48999999999999994,0.81,0.04000000000000001,3.4225000000000003,0.4096,2.8899999999999997,0.6889,0.4096,1.0201,0.2916,1.0816000000000001,0.25,0.0729,0.1936,0.0064,0.0841,0.9409,0.0256,1.3688999999999998,0.028900000000000006,1.9880999999999998,0.9025,0.8464,0.0225,0.34809999999999997,0.5776,0.0529,0.04409999999999999,0.0064,0.019600000000000003,0.0016,0.3844,0.019600000000000003,0.0025000000000000005,0.0,0.019600000000000003,0.0025000000000000005,0.07840000000000001,0.11560000000000002
2.0,2.91,4.33,2.38,-0.03,-0.32,3.9,-8.026,-7.601,-1.365,-1.756,3.128,-0.817,96.011,-12.47,96.822,1.9,1.85,0.21,1.85,0.29,1.2,0.64,0.08,0.64,0.97,1.7,1.7,0.14,1.7,0.16,1.6,0.83,0.04,0.83,1.17,0.9,0.64,0.62,0.64,0.17,2.1,1.01,0.14,1.01,1.41,1.1,0.54,0.05,0.54,0.95,1.4,1.04,0.0,1.04,0.92,0.7,0.5,0.14,0.5,0.15,0.7,0.27,0.05,0.27,0.59,0.9,0.44,0.28,0.44,0.76,0.2,-0.08,0.34,-0.08,0.23,3.61,1.44,2.8899999999999997,2.5600000000000005,0.81,4.41,1.2100000000000002,1.9599999999999997,0.48999999999999994,0.48999999999999994,0.81,0.04000000000000001,3.4225000000000003,0.4096,2.8899999999999997,0.6889,0.4096,1.0201,0.2916,1.0816000000000001,0.25,0.0729,0.1936,0.0064,0.0841,0.9409,0.0256,1.3688999999999998,0.028900000000000006,1.9880999999999998,0.9025,0.8464,0.0225,0.34809999999999997,0.5776,0.0529,0.04409999999999999,0.0064,0.019600000000000003,0.0016,0.3844,0.019600000000000003,0.0025000000000000005,0.0,0.019600000000000003,0.0025000000000000005,0.07840000000000001,0.11560000000000002
3.0,2.93,4.368,3.42,-0.04,-0.46,6.7,-5.879,-5.101,-0.923,-4.144,5.051,-1.65,97.656,-12.577,98.466,1.9,1.85,0.21,1.85,0.29,1.2,0.64,0.08,0.64,0.97,1.7,1.7,0.14,1.7,0.16,1.6,0.83,0.04,0.83,1.17,0.9,0.64,0.62,0.64,0.17,2.1,1.01,0.14,1.01,1.41,1.1,0.54,0.05,0.54,0.95,1.4,1.04,0.0,1.04,0.92,0.7,0.5,0.14,0.5,0.15,0.7,0.27,0.05,0.27,0.59,0.9,0.44,0.28,0.44,0.76,0.2,-0.08,0.34,-0.08,0.23,3.61,1.44,2.8899999999999997,2.5600000000000005,0.81,4.41,1.2100000000000002,1.9599999999999997,0.48999999999999994,0.48999999999999994,0.81,0.04000000000000001,3.4225000000000003,0.4096,2.8899999999999997,0.6889,0.4096,1.0201,0.2916,1.0816000000000001,0.25,0.0729,0.1936,0.0064,0.0841,0.9409,0.0256,1.3688999999999998,0.028900000000000006,1.9880999999999998,0.9025,0.8464,0.0225,0.34809999999999997,0.5776,0.0529,0.04409999999999999,0.0064,0.019600000000000003,0.0016,0.3844,0.019600000000000003,0.0025000000000000005,0.0,0.019600000000000003,0.0025000000000000005,0.07840000000000001,0.11560000000000002
4.0,2.96,4.407,4.45,-0.05,-0.6,10.1,-3.804,-2.685,0.141,-3.691,7.302,-2.839,97.666,-14.207,98.696,1.9,1.85,0.21,1.85,0.29,1.2,0.64,0.08,0.64,0.97,1.7,1.7,0.14,1.7,0.16,1.6,0.83,0.04,0.83,1.17,0.9,0.64,0.62,0.64,0.17,2.1,1.01,0.14,1.01,1.41,1.1,0.54,0.05,0.54,0.95,1.4,1.04,0.0,1.04,0.92,0.7,0.5,0.14,0.5,0.15,0.7,0.27,0.05,0.27,0.59,0.9,0.44,0.28,0.44,0.76,0.2,-0.08,0.34,-0.08,0.23,3.61,1.44,2.8899999999999997,2.5600000000000005,0.81,4.41,1.2100000000000002,1.9599999999999997,0.48999999999999994,0.48999999999999994,0.81,0.04000000000000001,3.4225000000000003,0.4096,2.8899999999999997,0.6889,0.4096,1.0201,0.2916,1.0816000000000001,0.25,0.0729,0.1936,0.0064,0.0841,0.9409,0.0256,1.3688999999999998,0.028900000000000006,1.9880999999999998,0.9025,0.8464,0.0225,0.34809999999999997,0.5776,0.0529,0.04409999999999999,0.0064,0.019600000000000003,0.0016,0.3844,0.019600000000000003,0.0025000000000000005,0.0,0.019600000000000003,0.0025000000000000005,0.07840000000000001,0.11560000000000002
5.0,3.01,4.445,5.49,-0.05,-0.75,13.6,-1.73,-0.271,1.205,-3.239,9.551,-4.028,97.676,-15.835,98.953,2.0,1.96,0.3,1.96,0.25,1.2,0.64,0.08,0.64,0.97,1.7,1.7,0.14,1.7,0.16,1.6,0.83,0.04,0.83,1.17,0.8,0.71,0.61,0.71,0.1,2.1,1.01,0.14,1.01,1.41,1.0,0.48,0.11,0.48,0.9,1.4,1.04,0.0,1.04,0.92,0.9,0.52,0.25,0.52,0.15,0.7,0.28,0.04,0.28,0.59,0.9,0.44,0.28,0.44,0.76,0.2,-0.08,0.34,-0.08,0.23,4.0,1.44,2.8899999999999997,2.5600000000000005,0.6400000000000001,4.41,1.0,1.9599999999999997,0.81,0.48999999999999994,0.81,0.04000000000000001,3.8415999999999997,0.4096,2.8899999999999997,0.6889,0.5041,1.0201,0.2304,1.0816000000000001,0.27040000000000003,0.07840000000000001,0.1936,0.0064,0.0625,0.9409,0.0256,1.3688999999999998,0.010000000000000002,1.9880999999999998,0.81,0.8464,0.0225,0.34809999999999997,0.5776,0.0529,0.09,0.0064,0.019600000000000003,0.0016,0.3721,0.019600000000000003,0.0121,0.0,0.0625,0.0016,0.07840000000000001,0.11560000000000002
6.0,3.06,4.483,6.52,-0.05,-0.91,16.2,-0.675,1.02,0.921,-1.644,12.053,-6.008,97.454,-15.688,98.709,2.0,1.96,0.3,1.96,0.25,1.2,0.64,0.08,0.64,0.97,1.7,1.7,0.14,1.7,0.16,1.6,0.83,0.04,0.83,1.17,0.8,0.71,0.61,0.71,0.1,2.1,1.01,0.14,1.01,1.41,1.0,0.48,0.11,0.48,0.9,1.4,1.04,0.0,1.04,0.92,0.9,0.52,0.25,0.52,0.15,0.7,0.28,0.04,0.28,0.59,0.9,0.44,0.28,0.44,0.76,0.2,-0.08,0.34,-0.08,0.23,4.0,1.44,2.8899999999999997,2.5600000000000005,0.6400000000000001,4.41,1.0,1.9599999999999997,0.81,0.48999999999999994,0.81,0.04000000000000001,3.8415999999999997,0.4096,2.8899999999999997,0.6889,0.5041,1.0201,0.2304,1.0816000000000001,0.27040000000000003,0.07840000000000001,0.1936,0.0064,0.0625,0.9409,0.0256,1.3688999999999998,0.010000000000000002,1.9880999999999998,0.81,0.8464,0.0225,0.34809999999999997,0.5776,0.0529,0.09,0.0064,0.019600000000000003,0.0016,0.3721,0.019600000000000003,0.0121,0.0,0.0625,0.0016,0.07840000000000001,0.11560000000000002
7.0,3.1,4.521,7.54,-0.05,-1.09,21.1,0.12,2.17,4.028,0.099,14.533,-8.092,97.508,-16.974,98.974,2.0,1.96,0.3,1.96,0.25,1.2,0.64,0.08,0.64,0.97,1.7,1.7,0.14,1.7,0.16,1.6,0.83,0.04,0.83,1.17,0.8,0.71,0.61,0.71,0.1,2.1,1.01,0.14,1.01,1.41,1.0,0.48,0.11,0.48,0.9,1.4,1.04,0.0,1.04,0.92,0.9,0.52,0.25,0.52,0.15,0.7,0.28,0.04,0.28,0.59,0.9,0.44,0.28,0.44,0.76,0.2,-0.08,0.34,-0.08,0.23,4.0,1.44,2.8899999999999997,2.5600000000000005,0.6400000000000001,4.41,1.0,1.9599999999999997,0.81,0.48999999999999994,0.81,0.04000000000000001,3.8415999999999997,0.4096,2.8899999999999997,0.6889,0.5041,1.0201,0.2304,1.0816000000000001,0.27040000000000003,0.07840000000000001,0.1936,0.0064,0.0625,0.9409,0.0256,1.3688999999999998,0.010000000000000002,1.9880999999999998,0.81,0.8464,0.0225,0.34809999999999997,0.5776,0.0529,0.09,0.0064,0.019600000000000003,0.0016,0.3721,0.019600000000000003,0.0121,0.0,0.0625,0.0016,0.07840000000000001,0.11560000000000002
8.0,3.15,4.558,8.57,-0.06,-1.27,27.0,0.681,2.865,9.482,1.407,16.849,-10.194,97.717,-19.131,99.572,2.0,1.96,0.3,1.96,0.25,1.2,0.64,0.08,0.64,0.97,1.7,1.7,0.14,1.7,0.16,1.6,0.83,0.04,0.83,1.17,0.8,0.71,0.61,0.71,0.1,2.1,1.01,0.14,1.01,1.41,1.0,0.48,0.11,0.48,0.9,1.4,1.04,0.0,1.04,0.92,0.9,0.52,0.25,0.52,0.15,0.7,0.28,0.04,0.28,0.59,0.9,0.44,0.28,0.44,0.76,0.2,-0.08,0.34,-0.08,0.23,4.0,1.44,2.8899999999999997,2.5600000000000005,0.6400000000000001,4.41,1.0,1.9599999999999997,0.81,0.48999999999999994,0.81,0.04000000000000001,3.8415999999999997,0.4096,2.8899999999999997,0.6889,0.5041,1.0201,0.2304,1.0816000000000001,0.27040000000000003,0.07840000000000001,0.1936,0.0064,0.0625,0.9409,0.0256,1.3688999999999998,0.010000000000000002,1.9880999999999998,0.81,0.8464,0.0225,0.34809999999999997,0.5776,0.0529,0.09,0.0064,0.019600000000000003,0.0016,0.3721,0.019600000000000003,0.0121,0.0,0.0625,0.0016,0.07840000000000001,0.11560000000000002
9.0,3.19,4.596,9.59,-0.07,-1.48,31.1,0.846,2.197,13.826,1.407,18.804,-12.338,97.693,-20.113,99.742,2.0,1.96,0.3,1.96,0.25,1.2,0.64,0.08,0.64,0.97,1.7,1.7,0.14,1.7,0.16,1.6,0.83,0.04,0.83,1.17,0.8,0.71,0.61,0.71,0.1,2.1,1.01,0.14,1.01,1.41,1.0,0.48,0.11,0.48,0.9,1.4,1.04,0.0,1.04,0.92,0.9,0.52,0.25,0.52,0.15,0.7,0.28,0.04,0.28,0.59,0.9,0.44,0.28,0.44,0.76,0.2,-0.08,0.34,-0.08,0.23,4.0,1.44,2.8899999999999997,2.5600000000000005,0.6400000000000001,4.41,1.0,1.9599999999999997,0.81,0.48999999999999994,0.81,0.04000000000000001,3.8415999999999997,0.4096,2.8899999999999997,0.6889,0.5041,1.0201,0.2304,1.0816000000000001,0.27040000000000003,0.07840000000000001,0.1936,0.0064,0.0625,0.9409,0.0256,1.3688999999999998,0.010000000000000002,1.9880999999999998,0.81,0.8464,0.0225,0.34809999999999997,0.5776,0.0529,0.09,0.0064,0.019600000000000003,0.0016,0.3721,0.019600000000000003,0.0121,0.0,0.0625,0.0016,0.07840000000000001,0.11560000000000002
